junction	type	ERR2598052	ERR2598053	ERR2598054	ERR2598055	ERR2598167	ERR2598168	ERR2598182	ERR2598183	ERR2598194	ERR2598234	ERR2598253	ERR2598255	ERR2598270	ERR2598338	ERR2598339	ERR2598351	ERR2598254	ERR2598307	geneID	geneName
chr10:26765319-26768851	N_w	11	20	36	51	44	34	88	45	44	17	8	24	11	13	10	10	37	10	ENSG00000136754.16	ABI1
chr10:26768993-26770244	N_w	12	11	66	42	39	27	46	57	66	11	8	21	8	13	11	14	22	15	ENSG00000136754.16	ABI1
chr10:26770346-26771074	N_w	0	1	3	0	0	2	1	6	3	1	1	1	5	1	0	1	4	0	ENSG00000136754.16	ABI1
chr10:26770346-26777064	N_w	3	0	2	7	22	17	38	20	13	0	3	3	8	2	6	0	4	2	ENSG00000136754.16	ABI1
chr10:26771090-26777064	N_w	0	1	1	0	1	1	0	2	2	1	0	1	2	1	0	1	1	0	ENSG00000136754.16	ABI1
chr10:26777242-26823137	N_w	11	12	27	52	44	44	98	36	47	5	6	14	8	5	2	10	18	10	ENSG00000136754.16	ABI1
chr10:26823306-26860746	N_w	5	9	55	34	41	29	56	58	58	3	6	13	6	15	5	7	17	8	ENSG00000136754.16	ABI1
chr2:65227958-65239851	N_w	7	8	45	2	57	48	101	33	72	6	2	10	6	17	13	10	15	12	ENSG00000138071.13	ACTR2
chr2:65239963-65246523	N_w	11	3	61	38	69	69	159	77	87	3	6	16	15	14	5	12	24	19	ENSG00000138071.13	ACTR2
chr2:65242064-65246523	N_w	0	0	0	0	3	2	1	0	2	0	0	0	0	1	3	1	2	0	ENSG00000138071.13	ACTR2
chr2:65246740-65251026	N_w	21	10	93	121	107	97	257	97	127	5	13	25	9	21	23	14	27	35	ENSG00000138071.13	ACTR2
chr2:65251100-65253727	N_w	20	20	60	96	93	104	259	103	99	9	23	34	13	15	6	10	35	16	ENSG00000138071.13	ACTR2
chr2:65253865-65255544	N_w	31	16	121	149	102	106	244	126	162	13	34	38	24	27	19	21	36	27	ENSG00000138071.13	ACTR2
chr2:65255695-65261246	N_w	29	17	70	165	90	90	292	102	134	15	30	56	14	19	8	10	63	35	ENSG00000138071.13	ACTR2
chr2:65261393-65265042	N_w	31	19	95	166	100	125	324	156	219	18	24	42	13	18	19	14	47	32	ENSG00000138071.13	ACTR2
chr2:65265176-65268563	N_w	38	20	65	122	84	116	254	110	85	18	40	57	27	24	24	12	51	23	ENSG00000138071.13	ACTR2
chr2:203328632-203366876	N_w	9	20	31	16	61	40	62	45	62	5	16	6	6	8	14	8	11	5	ENSG00000138443.15	ABI2
chr2:203328632-203366880	N_w	1	1	1	2	7	1	3	0	4	1	0	0	0	0	0	0	0	0	ENSG00000138443.15	ABI2
chr2:203351679-203366876	N_w	0	0	0	1	3	1	2	2	2	0	0	0	0	0	0	0	0	0	ENSG00000138443.15	ABI2
chr2:203367045-203376056	N_w	0	0	2	4	1	2	8	1	0	1	0	1	0	0	0	0	3	0	ENSG00000138443.15	ABI2
chr2:203367045-203380207	N_w	20	17	22	62	43	38	53	22	31	6	14	10	4	5	7	1	16	5	ENSG00000138443.15	ABI2
chr2:203376133-203380207	N_w	0	0	1	3	0	3	4	2	2	0	0	3	0	0	0	0	0	0	ENSG00000138443.15	ABI2
chr2:203380385-203382188	N_w	10	6	4	11	6	17	4	16	11	6	3	4	0	0	1	1	7	0	ENSG00000138443.15	ABI2
chr2:203380385-203391045	N_w	15	20	18	35	23	19	38	32	36	8	6	11	6	6	6	6	25	5	ENSG00000138443.15	ABI2
chr2:203382207-203391045	N_w	8	5	1	11	6	19	4	16	11	5	1	3	0	3	2	0	6	0	ENSG00000138443.15	ABI2
chr2:203391144-203394699	N_w	15	13	34	6	54	60	56	76	75	15	11	13	3	8	11	6	20	14	ENSG00000138443.15	ABI2
chr2:203391144-203395655	N_w	13	14	8	9	14	6	5	7	6	9	10	6	13	6	3	9	15	0	ENSG00000138443.15	ABI2
chr2:203391144-203395658	N_w	2	2	1	1	5	3	0	2	1	3	1	0	0	0	0	1	2	0	ENSG00000138443.15	ABI2
chr2:203394847-203395655	N_w	20	19	40	15	45	66	84	55	51	10	22	25	8	3	15	10	37	4	ENSG00000138443.15	ABI2
chr2:203394847-203395658	N_w	3	4	4	1	8	5	7	7	5	3	1	4	1	1	0	0	1	3	ENSG00000138443.15	ABI2
chr2:203395781-203396784	N_w	14	17	25	3	40	44	5	23	27	9	12	5	3	0	3	10	13	0	ENSG00000138443.15	ABI2
chr2:203395781-203402575	N_w	5	6	4	5	18	6	43	25	23	3	5	8	2	7	0	6	2	2	ENSG00000138443.15	ABI2
chr2:203396968-203402575	N_w	12	21	31	11	49	53	8	24	40	9	12	7	2	4	6	4	11	0	ENSG00000138443.15	ABI2
chr2:203402735-203411284	N_w	18	13	20	29	35	30	51	23	14	18	16	12	6	3	5	3	22	4	ENSG00000138443.15	ABI2
chr2:203402735-203416907	N_w	13	23	22	22	40	33	40	36	43	15	18	17	17	5	4	5	33	4	ENSG00000138443.15	ABI2
chr2:203411372-203416907	N_w	28	47	63	49	50	33	59	61	73	32	28	27	14	7	2	17	54	10	ENSG00000138443.15	ABI2
chr2:203411372-203416913	N_w	1	0	2	1	1	2	8	3	5	1	1	2	0	0	0	2	1	0	ENSG00000138443.15	ABI2
chr2:203417082-203427176	N_w	33	46	16	67	54	59	61	39	24	45	52	27	7	8	27	3	54	2	ENSG00000138443.15	ABI2
chr2:203427270-203427495	N_w	0	2	3	4	1	2	6	1	4	1	3	1	0	1	1	1	0	0	ENSG00000138443.15	ABI2
chr2:203427270-203431000	N_w	0	1	1	1	0	0	1	2	2	0	1	0	0	0	0	0	2	0	ENSG00000138443.15	ABI2
chr1:27408347-27409691	N_w	12	12	37	1	61	55	103	48	43	17	4	11	9	5	0	4	12	2	ENSG00000158195.10	WASF2
chr1:27410207-27412571	N_w	9	19	15	26	38	32	48	24	34	12	6	15	7	5	0	4	11	6	ENSG00000158195.10	WASF2
chr1:27412728-27414832	N_w	11	13	19	41	55	38	54	46	38	16	6	16	0	3	2	3	15	0	ENSG00000158195.10	WASF2
chr1:27414964-27415984	N_w	25	23	66	147	79	55	131	68	134	19	9	25	7	7	17	9	32	6	ENSG00000158195.10	WASF2
chr1:27416103-27418268	N_w	17	33	80	101	77	50	123	70	141	13	10	21	8	9	15	8	23	5	ENSG00000158195.10	WASF2
chr1:27418423-27418953	N_w	20	16	85	47	84	68	98	76	109	17	9	23	18	3	11	3	22	4	ENSG00000158195.10	WASF2
chr1:27419089-27428760	N_w	10	8	5	1	33	34	38	27	9	1	5	5	6	0	1	1	11	1	ENSG00000158195.10	WASF2
chr1:27428934-27489985	N_w	8	10	43	0	36	27	33	8	50	10	5	11	0	3	0	5	19	10	ENSG00000158195.10	WASF2
chr1:32742190-32767786	N_w	0	1	4	0	1	2	6	0	2	0	0	0	0	0	0	2	0	0	ENSG00000162522.10	KIAA1522
chr1:32754181-32767786	N_w	2	1	1	0	5	5	6	1	10	0	1	0	0	0	0	0	1	0	ENSG00000162522.10	KIAA1522
chr1:32767958-32768061	N_w	2	1	4	0	14	3	34	17	12	3	3	2	0	3	3	1	6	3	ENSG00000162522.10	KIAA1522
chr1:32768118-32768651	N_w	1	2	5	0	13	5	41	20	14	3	2	2	0	4	0	0	2	2	ENSG00000162522.10	KIAA1522
chr1:32768776-32769672	N_w	2	2	1	0	8	6	29	7	6	2	3	1	0	0	0	0	1	1	ENSG00000162522.10	KIAA1522
chr1:32769787-32769879	N_w	0	2	2	0	8	2	23	4	7	0	2	0	0	0	1	0	0	0	ENSG00000162522.10	KIAA1522
chr1:32772442-32772864	N_w	1	7	5	0	10	8	35	15	16	4	4	5	2	2	0	2	5	1	ENSG00000162522.10	KIAA1522
chr1:183627595-183630460	N_w	7	15	18	42	30	40	70	53	22	17	24	77	15	8	12	5	35	18	ENSG00000162704.15	ARPC5
chr1:183630638-183633081	N_w	40	31	99	19	78	63	131	87	123	24	56	123	22	16	47	18	91	36	ENSG00000162704.15	ARPC5
chr1:183633154-183635515	N_w	0	25	0	0	0	0	0	0	0	34	34	0	36	14	50	41	0	0	ENSG00000162704.15	ARPC5
chr2:218217255-218217462	N_w	13	20	40	0	33	13	42	3	30	7	23	16	18	14	32	24	24	19	ENSG00000163466.15	ARPC2
chr2:218217545-218225919	N_w	56	79	518	37	141	122	255	56	353	67	88	175	95	72	160	135	258	74	ENSG00000163466.15	ARPC2
chr2:218225955-218228737	N_w	77	84	341	82	130	128	275	71	267	76	111	182	71	49	90	82	266	65	ENSG00000163466.15	ARPC2
chr2:218228851-218234351	N_w	109	128	175	261	176	182	352	157	218	89	167	238	90	47	64	69	359	65	ENSG00000163466.15	ARPC2
chr2:218228851-218238663	N_w	0	3	3	5	15	5	7	9	7	5	1	2	0	2	0	0	6	1	ENSG00000163466.15	ARPC2
chr2:218234398-218238663	N_w	123	141	175	334	220	198	416	258	194	108	166	243	128	57	70	57	327	83	ENSG00000163466.15	ARPC2
chr2:218235045-218238663	N_w	1	0	2	1	0	1	1	1	0	1	0	0	0	0	0	0	0	5	ENSG00000163466.15	ARPC2
chr2:218236734-218238663	N_w	0	0	1	1	0	1	0	1	3	3	3	2	0	0	0	1	4	2	ENSG00000163466.15	ARPC2
chr2:218238851-218239390	N_w	213	170	157	391	227	194	372	247	145	177	272	306	101	77	91	52	471	89	ENSG00000163466.15	ARPC2
chr2:218238851-218245419	N_w	2	1	0	1	9	1	0	6	4	4	0	0	0	0	0	0	0	0	ENSG00000163466.15	ARPC2
chr2:218239485-218245419	N_w	220	228	238	231	228	177	393	337	261	167	291	286	132	102	145	165	432	147	ENSG00000163466.15	ARPC2
chr2:218239485-218249363	N_w	0	0	0	0	1	1	2	3	3	2	0	1	0	0	0	0	1	0	ENSG00000163466.15	ARPC2
chr2:218245547-218249363	N_w	324	233	367	91	334	282	481	438	418	332	423	434	226	128	227	320	706	251	ENSG00000163466.15	ARPC2
chr2:218249465-218249820	N_w	290	247	441	123	388	357	603	387	432	288	443	406	247	169	215	283	797	225	ENSG00000163466.15	ARPC2
chr2:218249922-218253890	N_w	306	333	269	212	339	271	559	453	268	333	456	563	232	96	156	245	815	200	ENSG00000163466.15	ARPC2
chrX:17728329-17728648	N_w	0	2	0	1	0	0	2	1	1	1	0	0	0	2	0	0	0	0	ENSG00000188158.14	NHS
chrX:72134219-72134508	N_w	0	0	1	1	1	2	3	2	1	0	0	0	0	0	0	0	0	0	ENSG00000204131.9	NHSL2
chrX:72134705-72137093	N_w	0	0	1	0	4	1	5	1	0	0	0	0	0	0	0	0	0	0	ENSG00000204131.9	NHSL2
chrX:72137226-72138440	N_w	0	0	1	0	1	2	1	4	2	0	0	0	0	0	0	0	0	1	ENSG00000204131.9	NHSL2
chrX:72140772-72142231	N_w	2	0	7	2	6	3	14	11	25	1	2	1	0	0	0	0	2	2	ENSG00000204131.9	NHSL2
chrX:72142365-72143252	N_w	0	1	0	0	3	6	12	0	3	0	1	0	0	0	0	0	2	0	ENSG00000204131.9	NHSL2
chr3:9792706-9797658	N_w	2	2	2	0	0	2	5	0	3	3	1	2	0	0	2	6	1	0	ENSG00000241553.12	ARPC4
chr3:9793125-9797658	N_w	7	4	13	0	3	5	16	1	11	0	7	7	1	7	10	4	13	5	ENSG00000241553.12	ARPC4
chr3:9797778-9799878	N_w	0	0	1	0	3	1	1	0	1	3	0	0	0	0	2	0	2	1	ENSG00000241553.12	ARPC4
chr3:9797778-9800184	N_w	56	37	105	22	81	75	160	72	113	35	46	103	36	37	67	28	112	44	ENSG00000241553.12	ARPC4
chr3:9800068-9800184	N_w	1	0	0	2	2	3	3	4	0	3	2	0	0	3	0	0	1	0	ENSG00000241553.12	ARPC4
chr3:9800297-9801660	N_w	64	49	85	57	93	64	234	86	81	38	62	90	38	14	34	17	129	32	ENSG00000241553.12	ARPC4
chr3:9800297-9803842	N_w	0	1	3	0	0	1	4	2	2	0	4	2	1	0	0	0	3	2	ENSG00000241553.12	ARPC4
chr3:9801757-9803842	N_w	63	69	93	109	114	83	246	132	127	51	56	75	41	24	32	31	122	74	ENSG00000241553.12	ARPC4
chr3:9803708-9803842	N_w	2	1	2	0	2	1	3	1	0	0	0	2	0	1	0	0	1	1	ENSG00000241553.12	ARPC4
chr3:9804014-9806209	N_w	115	93	154	88	131	127	323	228	140	108	153	164	66	48	91	60	281	71	ENSG00000241553.12	ARPC4
chr7:99326005-99333324	N_w	23	28	74	13	45	33	80	30	72	15	45	32	37	29	55	87	48	29	ENSG00000241685.9	ARPC1A
chr7:99333418-99338180	N_w	79	77	196	85	146	127	294	121	177	48	71	129	160	68	119	123	236	40	ENSG00000241685.9	ARPC1A
chr7:99338286-99344292	N_w	71	40	91	27	95	72	206	70	83	40	69	93	97	42	84	67	153	25	ENSG00000241685.9	ARPC1A
chr7:99344516-99348851	N_w	76	66	212	90	126	141	244	183	205	71	93	129	123	64	74	94	193	46	ENSG00000241685.9	ARPC1A
chr7:99348960-99353908	N_w	32	35	29	39	50	33	109	39	32	24	38	34	18	13	26	27	62	13	ENSG00000241685.9	ARPC1A
chr7:99354122-99358339	N_w	43	20	25	3	37	25	86	31	13	34	74	37	17	12	25	28	55	13	ENSG00000241685.9	ARPC1A
chr7:99358416-99359544	N_w	77	69	125	16	124	110	187	103	92	72	140	109	96	64	90	158	212	50	ENSG00000241685.9	ARPC1A
chr7:99359739-99363542	N_w	143	114	122	38	103	101	236	129	89	91	227	186	135	45	97	86	255	80	ENSG00000241685.9	ARPC1A
chr7:99360275-99363542	N_w	3	1	0	0	3	2	0	2	0	1	0	0	0	0	0	0	0	0	ENSG00000241685.9	ARPC1A
chr7:99363634-99365890	N_w	145	105	143	51	125	112	223	117	107	102	262	148	119	43	129	106	282	108	ENSG00000241685.9	ARPC1A
chr3:10115820-10118905	N_w	4	10	24	2	5	4	8	1	14	4	8	4	2	1	12	6	13	7	ENSG00000254999.3	BRK1
chr3:10115820-10125625	N_w	180	193	476	269	251	166	419	232	382	125	211	383	164	116	231	193	454	176	ENSG00000254999.3	BRK1
chr3:10118971-10125625	N_w	10	7	21	25	6	6	18	7	14	10	20	13	4	3	5	8	32	12	ENSG00000254999.3	BRK1
chr3:10125709-10126268	N_w	263	198	379	238	342	214	522	353	415	175	252	354	218	129	247	180	563	199	ENSG00000254999.3	BRK1
chr15:22870193-22872824	N_w	22	23	8	24	35	18	95	43	19	34	43	48	5	6	4	7	46	24	ENSG00000273749.4	CYFIP1
chr15:22872973-22873490	N_w	31	28	35	10	64	34	188	77	44	50	63	115	35	9	7	32	72	51	ENSG00000273749.4	CYFIP1
chr15:22873730-22874549	N_w	19	11	25	5	31	19	100	47	42	24	30	39	9	3	10	10	39	16	ENSG00000273749.4	CYFIP1
chr15:22874645-22875198	N_w	28	25	28	13	40	39	111	97	44	27	38	57	10	5	5	11	66	32	ENSG00000273749.4	CYFIP1
chr15:22875272-22879912	N_w	33	23	46	8	40	38	116	69	70	17	49	63	14	5	7	10	46	22	ENSG00000273749.4	CYFIP1
chr15:22880044-22881845	N_w	25	26	32	1	53	32	145	61	42	29	38	86	12	4	25	7	76	34	ENSG00000273749.4	CYFIP1
chr15:22881937-22882867	N_w	19	17	29	0	51	30	104	42	33	26	19	33	7	8	18	10	40	31	ENSG00000273749.4	CYFIP1
chr15:22883012-22892889	N_w	29	14	47	18	44	31	152	35	78	19	28	33	10	4	15	21	40	28	ENSG00000273749.4	CYFIP1
chr15:22892978-22903705	N_w	37	26	50	12	51	37	156	62	87	37	47	85	10	7	10	13	55	37	ENSG00000273749.4	CYFIP1
chr15:22903906-22909193	N_w	15	20	23	10	33	28	93	53	47	18	34	32	8	7	5	9	37	30	ENSG00000273749.4	CYFIP1
chr15:22909314-22910519	N_w	18	17	32	3	43	28	103	62	30	15	17	41	9	7	19	10	38	19	ENSG00000273749.4	CYFIP1
chr15:22910629-22910736	N_w	22	15	34	23	39	28	107	51	55	16	22	42	13	7	1	13	42	20	ENSG00000273749.4	CYFIP1
chr15:22910814-22912178	N_w	18	16	38	13	34	47	136	66	46	22	25	28	12	7	12	8	31	29	ENSG00000273749.4	CYFIP1
chr15:22912276-22914725	N_w	22	12	21	4	29	21	91	39	42	19	22	18	5	2	11	4	20	13	ENSG00000273749.4	CYFIP1
chr15:22914883-22916476	N_w	5	19	21	23	25	24	68	50	39	11	19	29	4	0	2	5	22	18	ENSG00000273749.4	CYFIP1
chr15:22916631-22917787	N_w	5	2	8	1	20	20	59	19	17	1	9	19	6	3	3	4	12	7	ENSG00000273749.4	CYFIP1
chr15:22917936-22918691	N_w	7	5	20	0	39	26	107	39	36	9	11	28	8	0	3	3	20	13	ENSG00000273749.4	CYFIP1
chr15:22918859-22925524	N_w	2	2	0	0	0	2	1	0	1	0	0	0	0	0	0	1	3	0	ENSG00000273749.4	CYFIP1
chr15:22918859-22925981	N_w	4	2	12	1	36	21	70	18	15	2	4	5	6	0	4	1	4	7	ENSG00000273749.4	CYFIP1
chr15:22925579-22925981	N_w	1	1	1	0	0	1	1	0	1	1	0	3	0	0	0	0	0	0	ENSG00000273749.4	CYFIP1
chr15:22926108-22927905	N_w	4	2	11	0	24	22	54	9	24	11	10	5	3	1	10	2	7	22	ENSG00000273749.4	CYFIP1
chr15:22928029-22932222	N_w	5	3	8	0	21	16	37	13	12	4	2	9	9	1	0	3	8	3	ENSG00000273749.4	CYFIP1
chr15:22932341-22933801	N_w	7	7	30	20	40	31	117	41	54	9	9	16	2	3	10	8	12	13	ENSG00000273749.4	CYFIP1
chr15:22933894-22937103	N_w	14	11	42	39	38	36	104	46	63	7	21	27	0	1	16	7	30	13	ENSG00000273749.4	CYFIP1
chr15:22937209-22939191	N_w	6	13	22	21	26	24	85	33	29	4	13	17	9	3	2	4	4	8	ENSG00000273749.4	CYFIP1
chr15:22939321-22939410	N_w	5	4	11	10	32	23	79	40	29	8	11	8	2	0	0	4	9	7	ENSG00000273749.4	CYFIP1
chr15:22939508-22943172	N_w	4	5	24	10	42	35	108	42	60	6	9	31	18	3	5	5	12	23	ENSG00000273749.4	CYFIP1
chr15:22943355-22944557	N_w	9	3	15	8	25	21	93	26	29	1	15	16	2	6	2	6	15	6	ENSG00000273749.4	CYFIP1
chr15:22944660-22944861	N_w	11	7	20	8	34	26	103	44	68	6	14	12	8	4	7	6	10	11	ENSG00000273749.4	CYFIP1
chr15:22944940-22947002	N_w	2	2	7	4	22	13	69	21	20	2	5	6	1	1	0	4	4	5	ENSG00000273749.4	CYFIP1
chr15:22947093-22947168	N_w	3	5	16	5	24	25	54	9	49	6	7	4	5	12	6	3	11	17	ENSG00000273749.4	CYFIP1
chr15:22947292-22980286	N_w	0	3	0	0	5	3	13	0	4	1	1	2	3	2	0	1	2	4	ENSG00000273749.4	CYFIP1
