junction	type	ERR2598061	ERR2598062	ERR2598063	ERR2598064	ERR2598083	ERR2598084	ERR2598085	ERR2598097	ERR2598115	ERR2598131	ERR2598132	ERR2598143	ERR2598144	ERR2598159	ERR2598160	ERR2598161	ERR2598162	ERR2598173	ERR2598174	ERR2598175	ERR2598176	ERR2598188	ERR2598189	ERR2598201	ERR2598202	ERR2598217	ERR2598218	ERR2598219	ERR2598220	ERR2598241	ERR2598242	ERR2598243	ERR2598244	ERR2598261	ERR2598275	ERR2598284	ERR2598285	ERR2598334	ERR2598344	ERR2598357	ERR2598358	ERR2598359	ERR2598142	ERR2598260	ERR2598262	ERR2598310	geneID	geneName
chr2:113951846-113955622	N_w	19	21	78	85	24	18	124	143	81	103	91	107	94	201	81	113	250	153	100	79	36	54	55	23	110	55	108	152	157	30	39	13	108	5	16	20	17	28	33	28	32	49	75	43	45	48	ENSG00000115091.11	ACTR3
chr2:113955707-113957359	N_w	46	49	144	111	46	19	313	398	152	181	174	157	165	325	209	235	400	228	159	157	122	88	136	59	200	114	174	201	246	65	73	49	164	16	33	41	29	45	65	69	66	90	180	101	81	87	ENSG00000115091.11	ACTR3
chr12:54497892-54499354	N_w	0	0	3	5	0	0	25	29	2	5	8	2	2	13	7	4	19	1	4	3	2	5	11	0	9	0	5	8	10	0	0	0	0	0	0	0	0	0	3	1	3	0	3	0	0	1	ENSG00000123338.12	NCKAP1L
chr12:54499466-54500532	N_w	0	1	5	4	0	0	23	31	6	8	10	5	10	20	6	11	24	3	5	2	5	10	13	0	13	2	6	5	16	0	0	0	0	0	0	0	0	0	2	1	4	2	10	0	0	1	ENSG00000123338.12	NCKAP1L
chr12:54500626-54507852	N_w	0	0	3	5	0	0	16	18	6	4	5	7	3	14	4	5	13	1	3	1	2	8	10	0	6	2	1	6	5	0	0	1	0	0	0	0	0	2	4	1	2	0	8	0	2	0	ENSG00000123338.12	NCKAP1L
chr12:54507910-54508388	N_w	0	0	2	6	0	0	20	26	5	8	6	11	5	19	0	6	16	3	2	2	3	13	14	0	5	1	5	12	12	0	0	0	0	0	0	2	0	0	1	1	0	0	10	2	1	2	ENSG00000123338.12	NCKAP1L
chr12:54508532-54509668	N_w	0	0	5	6	0	0	9	8	10	11	6	4	4	6	1	4	14	1	6	3	1	6	10	0	5	0	8	9	8	0	1	0	0	0	0	0	1	2	0	2	0	0	5	5	0	0	ENSG00000123338.12	NCKAP1L
chr12:54509760-54509847	N_w	0	0	5	5	0	0	10	7	4	10	8	5	2	3	1	4	6	2	1	2	1	8	7	0	4	1	4	6	8	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	ENSG00000123338.12	NCKAP1L
chr12:54509986-54511802	N_w	0	0	4	2	0	0	11	14	6	1	7	6	0	5	4	8	12	1	2	3	0	9	15	1	6	0	4	10	10	1	0	0	0	0	0	0	1	0	1	1	1	0	3	0	1	0	ENSG00000123338.12	NCKAP1L
chr12:54511852-54511948	N_w	0	0	3	0	0	0	15	14	9	6	5	9	3	16	5	5	20	0	6	3	2	12	13	2	7	1	6	6	17	0	1	1	1	0	0	2	1	0	0	0	2	0	6	1	0	0	ENSG00000123338.12	NCKAP1L
chr12:54512106-54516238	N_w	0	0	6	5	0	0	20	23	8	17	9	14	7	12	8	14	28	1	5	3	4	9	19	3	15	2	9	15	17	0	3	0	0	0	0	1	0	0	3	0	2	0	12	0	1	0	ENSG00000123338.12	NCKAP1L
chr12:54516296-54516895	N_w	0	0	5	1	0	0	10	8	3	9	9	3	1	9	3	5	16	0	0	3	2	7	7	0	11	0	7	3	9	0	0	0	0	0	0	1	0	1	2	0	0	1	3	0	0	0	ENSG00000123338.12	NCKAP1L
chr12:54516993-54517532	N_w	0	0	5	5	0	0	11	9	1	7	5	5	5	6	3	8	11	2	2	2	6	7	10	0	7	0	5	5	8	2	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	ENSG00000123338.12	NCKAP1L
chr12:54517643-54517805	N_w	0	0	7	10	0	0	22	24	7	12	4	10	13	15	6	14	34	0	10	3	7	14	18	0	17	0	9	10	15	0	1	0	0	0	0	0	0	1	0	0	3	0	8	1	0	0	ENSG00000123338.12	NCKAP1L
chr12:54517939-54518650	N_w	2	1	6	5	0	0	7	6	7	9	8	7	7	15	5	10	15	1	4	2	2	5	10	0	4	1	5	10	16	0	2	1	0	0	0	0	1	1	2	2	0	2	7	1	0	0	ENSG00000123338.12	NCKAP1L
chr12:54518733-54518913	N_w	2	1	2	4	0	0	9	24	5	7	6	2	6	13	9	13	18	3	3	4	1	6	5	1	17	3	2	6	10	0	4	0	0	0	0	0	0	0	1	0	0	0	6	0	5	0	ENSG00000123338.12	NCKAP1L
chr12:54518973-54519186	N_w	0	0	5	3	0	0	9	14	8	12	4	0	2	14	5	6	21	3	5	2	3	8	9	0	8	1	2	8	7	0	2	0	2	0	0	0	0	2	1	0	2	0	8	2	1	1	ENSG00000123338.12	NCKAP1L
chr12:54519333-54520693	N_w	3	1	1	2	0	1	5	4	4	3	2	7	6	5	3	4	5	0	4	1	1	4	4	3	10	3	5	5	15	2	2	0	0	0	3	0	0	2	1	0	0	1	10	0	1	1	ENSG00000123338.12	NCKAP1L
chr12:54520827-54521118	N_w	3	0	12	8	0	2	22	22	5	9	4	8	15	16	10	6	17	4	5	4	2	10	10	5	19	4	6	10	23	1	1	0	0	0	0	4	0	3	1	2	2	0	9	4	1	0	ENSG00000123338.12	NCKAP1L
chr12:54521239-54523393	N_w	0	1	7	11	0	0	21	15	5	7	9	13	9	15	11	14	16	4	9	5	6	19	19	8	20	3	13	16	16	2	6	0	2	0	3	2	2	1	5	4	0	3	7	4	5	0	ENSG00000123338.12	NCKAP1L
chr12:54523540-54523824	N_w	2	1	8	2	3	1	13	24	8	8	10	6	15	13	10	4	14	2	8	1	4	8	21	10	18	5	16	14	11	1	3	0	2	0	0	0	0	0	5	0	1	1	10	2	1	0	ENSG00000123338.12	NCKAP1L
chr12:54523957-54526527	N_w	1	2	7	0	2	1	7	13	5	16	6	7	3	16	6	7	14	2	3	1	2	13	10	5	6	3	6	9	13	3	0	1	4	0	3	1	1	2	0	2	1	0	5	4	5	0	ENSG00000123338.12	NCKAP1L
chr12:54526747-54528246	N_w	3	1	11	6	6	0	14	12	6	10	3	3	7	11	12	8	13	2	9	2	0	13	11	13	20	1	8	7	17	2	5	1	5	0	3	2	1	1	3	2	2	1	17	2	5	0	ENSG00000123338.12	NCKAP1L
chr12:54528378-54531259	N_w	5	1	18	6	0	0	16	21	6	9	7	9	11	9	13	13	24	3	5	10	3	14	18	9	12	7	8	12	18	3	3	4	4	0	0	0	0	0	1	2	0	0	10	7	2	0	ENSG00000123338.12	NCKAP1L
chr12:54531358-54531490	N_w	7	7	10	15	4	4	25	23	8	24	9	7	13	14	10	16	24	4	8	4	5	22	27	18	18	3	11	16	15	7	7	7	12	4	3	2	0	3	2	9	3	1	13	3	1	0	ENSG00000123338.12	NCKAP1L
chr12:54531585-54531742	N_w	7	4	17	15	6	1	11	22	10	10	4	9	6	10	7	20	30	4	6	7	2	23	17	18	26	4	15	12	18	6	4	7	6	2	3	2	1	1	1	0	2	4	18	5	5	2	ENSG00000123338.12	NCKAP1L
chr12:54531826-54532169	N_w	9	2	14	9	9	2	10	12	7	13	5	2	7	8	5	6	19	4	4	4	3	28	12	20	10	5	8	10	13	4	7	2	8	1	3	3	0	1	3	0	2	1	3	8	6	0	ENSG00000123338.12	NCKAP1L
chr12:54532251-54535103	N_w	8	4	10	3	5	0	8	6	4	7	4	5	3	6	6	8	9	1	4	1	0	13	16	3	12	8	7	8	8	1	3	6	6	0	0	2	0	2	3	1	2	0	8	8	5	1	ENSG00000123338.12	NCKAP1L
chr12:54535198-54536128	N_w	5	0	6	10	5	6	15	19	10	13	8	12	18	14	14	15	19	5	5	4	8	21	23	16	20	10	12	12	18	12	13	6	8	4	1	4	7	0	4	2	7	3	9	9	7	0	ENSG00000123338.12	NCKAP1L
chr12:54536246-54536943	N_w	8	6	12	9	10	3	37	27	7	12	4	4	10	20	25	12	26	6	5	4	9	23	30	28	21	11	13	9	14	4	12	15	12	6	10	3	4	1	4	4	7	4	14	14	13	1	ENSG00000123338.12	NCKAP1L
chr12:54537054-54538883	N_w	17	9	14	1	5	3	8	16	3	4	7	1	3	13	3	4	17	3	3	3	5	15	15	13	8	6	9	2	13	5	4	3	11	5	4	0	2	1	0	0	4	3	6	13	6	1	ENSG00000123338.12	NCKAP1L
chr12:54538974-54542574	N_w	23	10	19	5	10	17	10	20	11	12	8	9	6	24	22	13	26	3	5	3	2	30	18	45	16	15	16	18	14	12	8	17	10	20	8	1	1	4	2	4	2	5	12	14	23	0	ENSG00000123338.12	NCKAP1L
chr7:99374782-99385701	N_w	1	0	9	0	2	0	20	20	3	2	3	3	10	2	8	1	2	7	7	15	6	4	6	0	17	3	7	7	9	0	1	0	1	0	0	0	3	2	2	3	10	4	7	0	1	4	ENSG00000130429.12	ARPC1B
chr7:99377440-99385701	N_w	0	0	1	0	0	0	4	1	2	0	0	0	2	3	0	0	2	0	0	1	1	2	4	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	ENSG00000130429.12	ARPC1B
chr7:99377456-99385701	N_w	0	1	1	1	2	0	3	4	7	5	0	1	1	5	3	2	2	3	1	4	2	2	1	0	5	0	1	0	0	0	0	0	4	0	2	0	0	0	2	0	2	0	2	0	2	2	ENSG00000130429.12	ARPC1B
chr7:99385779-99386684	N_w	9	10	53	30	13	4	64	56	30	38	21	37	47	31	37	14	48	54	42	72	35	41	34	14	66	23	32	37	47	8	15	5	21	1	5	7	9	20	25	12	66	12	17	10	14	20	ENSG00000130429.12	ARPC1B
chr7:99386790-99388038	N_w	7	11	45	19	16	4	95	79	34	41	38	29	39	48	34	19	58	59	37	55	31	52	54	19	70	17	41	54	52	4	7	9	31	5	18	8	13	11	25	20	82	13	33	7	19	28	ENSG00000130429.12	ARPC1B
chr7:99388262-99389904	N_w	19	15	52	26	22	13	104	72	39	37	37	44	46	60	40	24	51	59	45	77	57	59	30	43	80	10	61	54	64	13	5	17	27	17	18	11	9	14	27	21	75	19	42	22	40	26	ENSG00000130429.12	ARPC1B
chr7:99390013-99390892	N_w	13	13	53	13	19	7	39	33	25	23	16	22	26	49	21	21	65	54	39	35	15	69	43	18	40	26	37	46	37	15	14	15	31	10	6	3	10	9	24	9	33	15	32	32	34	15	ENSG00000130429.12	ARPC1B
chr7:99391100-99391177	N_w	57	31	74	32	53	30	88	88	54	50	50	54	70	55	72	17	87	80	64	99	62	70	42	78	116	65	92	65	85	51	25	42	99	24	22	18	25	26	33	27	145	26	54	79	72	43	ENSG00000130429.12	ARPC1B
chr7:99391254-99392670	N_w	41	27	73	25	50	16	55	54	48	32	44	47	30	31	34	12	60	56	33	44	19	49	30	60	83	42	57	46	59	33	30	29	59	26	13	13	15	13	18	14	56	16	25	49	63	16	ENSG00000130429.12	ARPC1B
chr7:99392877-99394028	N_w	70	52	69	15	55	23	64	59	30	11	24	48	47	15	45	3	47	50	30	36	27	32	12	98	102	47	82	66	67	37	22	36	66	52	30	7	16	13	19	21	87	15	20	60	67	20	ENSG00000130429.12	ARPC1B
chr7:99392877-99394032	N_w	1	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	2	1	0	0	0	4	1	0	0	0	0	1	0	0	1	1	0	1	1	0	ENSG00000130429.12	ARPC1B
chr7:99394120-99394450	N_w	48	25	67	25	62	15	33	49	29	34	26	39	23	46	44	20	48	56	42	46	20	68	31	105	69	54	54	64	55	47	27	34	84	44	35	25	21	23	17	17	81	21	32	59	65	19	ENSG00000130429.12	ARPC1B
chr13:26557820-26612960	N_w	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSG00000132970.12	WASF3
chr13:26613059-26642260	N_w	0	0	0	0	0	0	5	1	0	0	1	0	0	1	0	0	0	24	3	11	2	1	3	0	9	0	2	6	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	ENSG00000132970.12	WASF3
chr13:26642404-26665027	N_w	0	0	1	5	0	0	2	2	1	0	1	2	1	3	0	1	2	67	19	5	6	1	7	0	11	1	7	15	10	0	1	0	0	0	0	0	3	1	1	0	1	0	0	0	0	2	ENSG00000132970.12	WASF3
chr13:26665163-26667516	N_w	0	0	1	0	0	0	4	6	4	2	0	3	4	4	0	0	1	47	21	14	8	2	8	4	11	0	9	10	11	0	0	0	0	0	0	1	5	0	1	0	6	0	3	0	0	0	ENSG00000132970.12	WASF3
chr13:26667671-26671871	N_w	0	0	2	4	0	0	4	3	0	0	0	0	0	2	0	0	5	31	13	7	5	0	6	0	10	0	8	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	ENSG00000132970.12	WASF3
chr13:26671990-26676548	N_w	0	0	1	1	0	0	4	4	2	0	3	1	0	2	1	0	3	57	25	14	5	3	11	0	13	0	6	4	10	0	0	0	0	0	0	1	3	0	0	5	0	1	0	0	0	0	ENSG00000132970.12	WASF3
chr13:26671990-26680034	N_w	0	0	0	1	0	0	4	2	1	0	0	0	0	3	0	0	1	8	3	5	0	2	1	0	1	0	1	2	3	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	3	ENSG00000132970.12	WASF3
chr13:26676725-26681053	N_w	0	0	2	2	0	0	1	5	2	0	0	2	0	2	0	0	1	28	20	10	11	4	9	0	12	0	1	3	10	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	ENSG00000132970.12	WASF3
chr13:26680202-26681053	N_w	0	0	0	0	0	0	2	0	0	1	0	0	0	1	1	1	0	7	3	3	1	2	4	0	2	0	2	4	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	ENSG00000132970.12	WASF3
chr13:26681321-26682606	N_w	0	0	2	2	0	0	1	2	1	0	0	3	0	1	0	0	0	19	15	4	6	1	0	2	9	1	4	0	8	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	3	ENSG00000132970.12	WASF3
chr13:26682975-26685687	N_w	0	0	1	0	0	0	2	0	2	1	0	0	1	4	1	0	3	40	19	7	5	4	7	0	2	0	0	5	6	0	1	0	0	0	0	3	1	0	0	3	3	3	0	0	0	4	ENSG00000132970.12	WASF3
chr7:152759927-152783186	N_w	0	0	0	1	0	0	1	0	2	1	1	0	1	1	0	0	0	2	1	2	1	0	1	0	2	1	1	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	ENSG00000133627.17	ACTR3B
chr7:152759927-152800530	N_w	0	0	0	0	0	0	4	3	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ENSG00000133627.17	ACTR3B
chr7:152783243-152800530	N_w	0	0	4	1	0	0	1	0	2	2	1	0	0	2	1	2	2	6	7	2	0	2	1	0	3	1	0	3	4	0	0	0	0	0	1	0	0	1	3	0	0	1	0	0	0	0	ENSG00000133627.17	ACTR3B
chr7:152800656-152801620	N_w	0	0	3	1	0	0	8	9	4	8	6	3	8	9	2	6	11	27	19	15	5	13	4	0	20	0	6	9	6	1	4	1	1	0	2	2	4	2	6	5	4	4	2	1	3	4	ENSG00000133627.17	ACTR3B
chr7:152801732-152811696	N_w	0	0	1	0	0	0	1	2	0	1	0	1	3	0	3	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	3	2	3	0	0	0	1	3	ENSG00000133627.17	ACTR3B
chr7:152801732-152814549	N_w	1	0	3	8	2	2	12	24	2	14	4	5	6	14	6	7	14	39	23	28	11	7	20	5	12	2	12	9	6	3	0	1	2	0	1	2	1	0	7	3	1	4	2	3	2	10	ENSG00000133627.17	ACTR3B
chr7:152811734-152814549	N_w	1	0	0	0	0	0	2	1	0	1	0	2	4	1	3	0	1	1	2	0	1	0	0	0	3	0	1	2	1	0	1	0	0	0	0	1	0	0	2	0	3	0	0	0	1	1	ENSG00000133627.17	ACTR3B
chr7:152814646-152816480	N_w	1	0	7	3	1	0	14	15	6	13	3	4	7	8	3	5	8	30	16	10	15	4	13	2	14	1	5	16	5	4	0	1	4	0	5	4	1	1	5	5	4	4	1	0	3	6	ENSG00000133627.17	ACTR3B
chr7:152816589-152820298	N_w	2	1	7	11	4	0	5	11	5	9	6	3	9	20	4	6	10	39	20	13	4	6	6	4	14	6	3	12	6	0	1	1	5	2	2	5	1	12	7	5	0	10	5	3	4	10	ENSG00000133627.17	ACTR3B
chr7:152820348-152823341	N_w	0	1	0	1	0	0	0	1	0	1	1	0	0	0	2	0	1	1	1	1	2	0	0	3	1	1	2	1	2	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	2	1	ENSG00000133627.17	ACTR3B
chr7:152820443-152823341	N_w	1	1	5	4	4	0	26	10	5	11	9	0	13	9	6	6	7	26	18	14	21	12	19	2	12	8	11	9	10	1	0	0	8	1	11	9	4	10	15	10	7	18	4	5	6	24	ENSG00000133627.17	ACTR3B
chr7:152823516-152825029	N_w	4	5	4	3	4	4	14	15	6	10	3	9	7	18	8	4	13	20	24	15	17	7	13	4	18	4	11	15	13	8	2	1	9	2	5	3	7	5	6	8	2	11	2	12	6	6	ENSG00000133627.17	ACTR3B
chr7:152825123-152842483	N_w	0	0	3	0	1	0	0	0	2	1	0	0	0	1	2	0	6	1	0	1	3	0	0	0	2	0	2	1	1	1	2	0	2	0	0	0	0	1	0	2	0	2	0	1	0	1	ENSG00000133627.17	ACTR3B
chr7:152825123-152852125	N_w	7	2	8	5	2	1	9	11	2	11	2	4	8	6	6	3	13	32	24	24	12	10	12	4	7	7	11	8	5	1	4	2	10	2	5	5	3	9	6	10	2	6	0	1	4	5	ENSG00000133627.17	ACTR3B
chr7:152825123-152854457	N_w	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	ENSG00000133627.17	ACTR3B
chr7:152852252-152853493	N_w	4	5	9	4	5	1	1	2	3	6	7	7	4	7	3	0	7	19	20	3	3	5	5	5	13	10	3	4	4	2	5	1	8	3	4	5	1	4	3	3	0	5	0	11	2	5	ENSG00000133627.17	ACTR3B
chr7:152853578-152854457	N_w	8	3	12	7	4	4	9	4	8	6	7	3	9	5	2	1	7	16	21	28	12	4	3	18	10	15	9	9	5	11	11	2	9	0	4	7	3	8	9	0	3	6	4	10	10	10	ENSG00000133627.17	ACTR3B
chr6:138424817-138429710	N_w	2	0	1	4	1	0	12	7	6	6	6	4	1	15	1	2	5	10	8	5	8	4	11	3	13	3	7	8	6	4	3	2	1	0	4	1	2	7	8	5	8	10	1	12	1	15	ENSG00000135540.11	NHSL1
chr6:138429844-138430392	N_w	3	0	2	1	0	2	5	4	4	1	3	2	2	5	0	1	10	10	12	5	1	2	6	8	5	0	16	8	8	3	7	2	0	0	1	3	1	4	4	9	3	2	1	1	0	17	ENSG00000135540.11	NHSL1
chr6:138433681-138441982	N_w	0	0	2	0	0	0	1	4	1	0	5	5	0	5	0	2	3	11	8	8	4	2	8	0	3	0	4	4	4	0	0	0	0	0	0	0	0	2	5	2	0	0	2	1	0	5	ENSG00000135540.11	NHSL1
chr6:138433681-138447000	N_w	0	0	0	0	0	0	3	2	0	0	0	2	0	2	1	0	0	11	1	1	3	0	3	0	1	0	0	1	2	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	4	ENSG00000135540.11	NHSL1
chr6:138442115-138447000	N_w	0	0	1	2	0	0	2	11	2	0	4	3	0	3	0	1	4	5	5	5	3	0	6	0	10	0	5	6	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	6	ENSG00000135540.11	NHSL1
chr6:138447194-138473305	N_w	2	1	2	8	0	1	5	6	0	7	4	5	0	11	0	4	5	14	7	0	5	6	11	2	7	0	8	6	7	0	2	1	3	0	2	8	1	0	2	0	6	5	0	1	2	10	ENSG00000135540.11	NHSL1
chr6:138473434-138496218	N_w	0	1	2	1	1	0	18	12	2	4	2	2	1	9	4	3	9	32	15	8	11	5	7	4	14	2	8	10	9	0	2	0	5	0	1	5	0	1	3	6	5	3	3	0	3	15	ENSG00000135540.11	NHSL1
chr6:138496372-138499232	N_w	2	0	2	2	0	1	4	1	2	2	2	1	0	1	2	2	4	8	5	1	0	4	9	1	0	1	4	3	3	1	0	0	1	0	0	2	0	2	3	2	1	0	0	0	1	6	ENSG00000135540.11	NHSL1
chr6:138496372-138545622	N_w	0	0	0	1	0	0	2	2	0	0	0	0	1	0	0	1	0	0	2	0	0	0	1	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSG00000135540.11	NHSL1
chr10:26748746-26751597	N_w	6	6	9	29	3	5	41	46	12	26	20	15	32	33	22	23	45	70	20	22	22	23	24	9	18	17	18	31	34	6	15	11	20	3	11	8	6	11	13	10	13	14	19	18	4	18	ENSG00000136754.16	ABI1
chr10:26751784-26755654	N_w	1	3	10	17	5	2	23	26	15	13	9	15	14	19	10	8	23	63	34	25	18	13	23	1	28	1	12	20	11	4	2	2	4	0	6	4	5	10	14	13	19	13	10	5	4	17	ENSG00000136754.16	ABI1
chr10:26751784-26759061	N_w	1	1	8	7	2	1	33	34	11	10	10	8	12	15	12	6	26	9	5	11	6	3	9	0	17	5	6	11	25	2	3	0	5	0	1	3	4	3	3	3	6	4	13	2	3	7	ENSG00000136754.16	ABI1
chr10:26751784-26765217	N_w	0	2	1	1	0	0	8	9	6	4	4	3	12	6	3	0	7	1	1	3	0	2	4	1	4	0	4	5	6	0	0	0	0	0	0	0	1	0	1	2	4	0	5	0	0	2	ENSG00000136754.16	ABI1
chr10:26755742-26759061	N_w	0	1	4	7	2	0	14	17	7	11	5	11	2	29	6	8	18	51	31	25	17	15	18	0	20	2	11	16	15	0	3	2	3	0	5	6	0	8	8	14	12	4	2	2	1	16	ENSG00000136754.16	ABI1
chr10:26759236-26765217	N_w	0	1	2	1	0	0	8	4	9	8	3	3	6	12	6	2	17	13	8	12	11	5	10	2	6	2	10	11	13	0	1	1	2	0	2	0	1	2	5	2	4	9	2	3	0	7	ENSG00000136754.16	ABI1
chr10:26759239-26765217	N_w	0	2	8	17	1	0	21	34	11	18	13	13	27	37	12	13	33	55	29	12	19	10	32	1	19	6	21	24	17	1	0	0	0	0	0	4	7	10	14	12	20	5	14	3	1	14	ENSG00000136754.16	ABI1
chr10:26765319-26768851	N_w	3	1	12	21	0	1	24	32	23	35	17	18	20	42	14	16	54	66	33	17	29	18	35	0	33	8	28	38	36	1	3	2	6	1	0	4	3	9	15	14	11	8	17	1	1	20	ENSG00000136754.16	ABI1
chr10:26768993-26770244	N_w	0	3	18	11	2	0	68	39	11	43	23	15	35	31	17	20	41	48	30	17	25	8	30	1	40	4	15	21	36	1	2	0	5	1	2	4	5	7	5	7	9	6	18	4	5	20	ENSG00000136754.16	ABI1
chr10:26770346-26771074	N_w	0	0	1	1	0	0	1	3	2	0	0	0	1	0	2	2	1	2	0	0	0	0	1	0	2	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	ENSG00000136754.16	ABI1
chr10:26770346-26777064	N_w	0	0	8	11	0	2	10	25	15	19	8	8	21	18	18	9	32	36	23	20	21	5	23	0	15	3	17	18	16	0	2	0	1	0	4	3	0	7	5	5	11	1	9	2	0	17	ENSG00000136754.16	ABI1
chr10:26771090-26777064	N_w	0	0	0	2	0	0	1	2	1	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	ENSG00000136754.16	ABI1
chr10:26777242-26823137	N_w	0	0	2	24	0	0	27	35	16	17	8	18	12	40	17	14	50	69	26	21	17	8	15	0	29	1	32	42	40	1	1	0	4	0	0	3	3	6	8	6	5	7	17	3	0	7	ENSG00000136754.16	ABI1
chr10:26823306-26835314	N_w	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	ENSG00000136754.16	ABI1
chr10:26823306-26860746	N_w	0	0	5	25	1	2	34	37	9	32	21	28	25	38	14	20	34	70	31	26	16	9	32	1	35	2	23	31	25	0	0	1	1	0	2	1	7	7	9	10	13	10	21	3	4	11	ENSG00000136754.16	ABI1
chr2:65227958-65239851	N_w	0	0	2	29	0	0	74	87	26	37	26	29	51	41	12	8	42	92	56	59	45	11	34	4	46	11	38	44	46	0	1	0	0	0	0	3	6	8	14	11	10	6	20	0	1	13	ENSG00000138071.13	ACTR2
chr2:65239963-65246523	N_w	4	3	17	23	2	1	82	118	39	55	25	31	52	75	21	36	82	121	90	84	69	16	59	2	70	4	45	74	66	3	3	0	3	0	2	5	5	11	19	10	14	7	19	1	1	21	ENSG00000138071.13	ACTR2
chr2:65246740-65251026	N_w	0	0	21	51	1	1	104	139	59	80	41	49	56	110	41	43	128	192	105	83	83	32	78	2	132	10	73	107	129	5	3	1	1	0	1	10	7	18	30	16	14	13	25	2	2	33	ENSG00000138071.13	ACTR2
chr2:65251100-65253727	N_w	2	0	29	57	2	0	74	106	34	86	55	49	53	104	30	47	124	240	99	67	45	28	90	1	109	10	82	119	103	3	2	0	6	0	0	6	5	18	20	13	6	21	27	4	3	46	ENSG00000138071.13	ACTR2
chr2:65253865-65255544	N_w	4	1	39	54	1	1	114	173	39	89	48	57	57	89	27	50	132	210	113	102	72	33	85	1	115	16	94	125	97	5	12	1	8	0	3	10	4	18	22	25	29	9	46	9	7	52	ENSG00000138071.13	ACTR2
chr2:65255695-65261246	N_w	7	1	30	68	1	4	109	133	38	89	63	60	41	114	29	56	148	236	138	102	55	44	95	4	119	18	112	131	105	11	10	1	3	4	1	8	5	18	34	28	18	21	21	6	4	54	ENSG00000138071.13	ACTR2
chr2:65255695-65265042	N_w	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	ENSG00000138071.13	ACTR2
chr2:65261393-65265042	N_w	10	2	39	64	5	0	140	218	54	123	62	91	66	128	37	65	189	269	153	115	79	51	123	19	141	25	110	146	128	12	6	7	11	2	5	12	6	25	45	27	35	16	56	12	5	63	ENSG00000138071.13	ACTR2
chr2:65265176-65268563	N_w	4	7	40	57	9	1	91	127	51	84	45	55	51	112	44	59	152	256	106	96	58	56	95	9	76	17	96	139	109	15	16	0	14	2	5	10	7	16	27	13	21	20	45	12	21	46	ENSG00000138071.13	ACTR2
chr2:203328632-203366876	N_w	0	0	9	7	0	0	11	12	6	6	5	3	10	12	4	6	21	86	28	17	11	8	11	3	20	5	11	19	23	3	2	2	2	1	0	2	0	2	3	1	1	1	8	3	0	0	ENSG00000138443.15	ABI2
chr2:203328632-203366880	N_w	0	0	2	0	0	0	0	1	0	2	1	0	0	0	0	0	1	4	2	0	1	0	1	0	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ENSG00000138443.15	ABI2
chr2:203351679-203366876	N_w	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSG00000138443.15	ABI2
