junction	type	ERR2598276	ERR2598277	ERR2598278	ERR2598279	ERR2598286	ERR2598345	ERR2598360	ERR2598361	ERR2598362	ERR2598363	ERR2598302	ERR2598303	ERR2598304	ERR2598311	geneID	geneName
chr2:203402735-203416913	N_w	1	3	1	1	1	0	2	2	1	1	0	0	0	3	ENSG00000138443.15	ABI2
chr2:203408003-203411284	N_w	6	10	1	2	4	0	9	3	2	5	0	0	0	7	ENSG00000138443.15	ABI2
chr2:203411372-203416907	N_w	85	211	28	50	84	35	176	72	69	112	20	14	33	147	ENSG00000138443.15	ABI2
chr2:203411372-203416913	N_w	2	11	2	6	4	1	16	6	7	10	3	0	4	11	ENSG00000138443.15	ABI2
chr2:203417082-203417885	N_w	3	2	1	1	0	0	2	0	1	1	1	0	0	4	ENSG00000138443.15	ABI2
chr2:203417082-203427176	N_w	75	94	19	32	57	22	78	53	56	49	20	7	38	44	ENSG00000138443.15	ABI2
chr2:203418141-203427176	N_w	4	1	0	3	5	0	3	3	2	3	0	0	0	5	ENSG00000138443.15	ABI2
chr2:203422624-203427176	N_w	1	1	0	0	2	0	5	2	0	2	0	0	0	1	ENSG00000138443.15	ABI2
chr2:203427270-203427495	N_w	53	78	12	13	35	2	60	38	31	38	3	2	3	31	ENSG00000138443.15	ABI2
chr1:27408347-27409691	N_w	8	40	9	10	29	30	34	33	47	13	23	12	12	74	ENSG00000158195.10	WASF2
chr1:27410207-27412571	N_w	11	20	3	8	5	10	15	34	36	12	13	5	14	58	ENSG00000158195.10	WASF2
chr1:27412728-27414832	N_w	8	10	1	6	16	28	10	14	29	4	21	6	11	40	ENSG00000158195.10	WASF2
chr1:27414964-27415984	N_w	8	47	3	16	13	41	75	33	133	36	43	14	15	215	ENSG00000158195.10	WASF2
chr1:27416103-27418268	N_w	9	36	6	6	21	57	44	36	87	25	43	22	43	203	ENSG00000158195.10	WASF2
chr1:27418423-27418953	N_w	6	19	8	15	14	49	31	48	77	21	38	19	38	198	ENSG00000158195.10	WASF2
chr1:27419089-27428760	N_w	2	2	0	3	6	15	2	5	16	0	8	2	5	11	ENSG00000158195.10	WASF2
chr1:27428934-27489985	N_w	0	12	0	7	12	29	7	15	23	2	14	8	23	69	ENSG00000158195.10	WASF2
chr1:32742190-32767786	N_w	0	1	0	2	0	7	0	0	0	1	1	4	3	1	ENSG00000162522.10	KIAA1522
chr1:32754181-32767786	N_w	0	3	0	0	0	8	1	0	1	1	0	4	14	6	ENSG00000162522.10	KIAA1522
chr1:32765828-32767786	N_w	0	1	0	0	3	0	5	1	0	5	0	1	0	3	ENSG00000162522.10	KIAA1522
chr1:32767958-32768061	N_w	2	9	2	2	2	24	9	6	8	3	15	22	18	7	ENSG00000162522.10	KIAA1522
chr1:32768118-32768651	N_w	6	11	1	3	5	42	7	9	7	7	14	21	31	12	ENSG00000162522.10	KIAA1522
chr1:32768776-32769672	N_w	0	1	0	0	0	12	3	2	3	0	11	12	8	10	ENSG00000162522.10	KIAA1522
chr1:32769787-32769879	N_w	0	3	0	0	1	22	1	2	0	0	4	6	10	6	ENSG00000162522.10	KIAA1522
chr1:32772442-32772864	N_w	2	7	2	3	4	45	7	4	2	2	12	21	17	12	ENSG00000162522.10	KIAA1522
chr1:183627595-183630460	N_w	6	10	11	25	14	27	10	9	14	8	41	25	42	15	ENSG00000162704.15	ARPC5
chr1:183630638-183633081	N_w	13	37	20	64	32	84	37	31	66	16	100	32	136	61	ENSG00000162704.15	ARPC5
chr1:183633154-183635515	N_w	12	0	17	0	0	0	0	0	0	0	0	0	0	0	ENSG00000162704.15	ARPC5
chr2:218217255-218217462	N_w	1	23	4	4	8	10	12	5	27	1	15	1	54	45	ENSG00000163466.15	ARPC2
chr2:218217255-218225919	N_w	0	2	0	0	1	0	2	1	1	1	0	1	0	4	ENSG00000163466.15	ARPC2
chr2:218217545-218225919	N_w	66	271	64	155	147	107	224	137	235	129	152	80	281	348	ENSG00000163466.15	ARPC2
chr2:218218125-218225919	N_w	0	2	0	1	0	0	2	0	3	4	0	0	0	1	ENSG00000163466.15	ARPC2
chr2:218220699-218225919	N_w	3	14	0	0	9	0	18	13	28	5	0	0	0	3	ENSG00000163466.15	ARPC2
chr2:218224519-218225744	N_w	0	1	0	1	2	0	1	2	1	2	0	0	0	0	ENSG00000163466.15	ARPC2
chr2:218224519-218225919	N_w	4	23	1	3	8	0	6	24	19	5	0	0	0	3	ENSG00000163466.15	ARPC2
chr2:218224799-218224906	N_w	0	2	0	0	2	0	7	11	7	1	0	0	0	5	ENSG00000163466.15	ARPC2
chr2:218225052-218225919	N_w	0	15	1	0	11	0	18	22	21	9	0	0	0	11	ENSG00000163466.15	ARPC2
chr2:218225676-218225919	N_w	0	5	0	0	4	0	8	3	8	1	0	0	0	5	ENSG00000163466.15	ARPC2
chr2:218225869-218228737	N_w	1	0	0	1	0	0	0	5	8	0	0	0	0	0	ENSG00000163466.15	ARPC2
chr2:218225955-218228737	N_w	78	229	65	193	164	97	226	209	349	122	160	81	279	283	ENSG00000163466.15	ARPC2
chr2:218228797-218238663	N_w	0	0	1	1	1	0	1	0	1	1	1	1	0	2	ENSG00000163466.15	ARPC2
chr2:218228851-218234351	N_w	121	389	139	323	199	129	419	381	327	167	179	120	259	395	ENSG00000163466.15	ARPC2
chr2:218228851-218238663	N_w	5	6	1	4	3	5	3	4	5	3	10	3	11	5	ENSG00000163466.15	ARPC2
chr2:218234398-218234848	N_w	8	42	1	6	15	0	55	30	42	9	1	0	0	43	ENSG00000163466.15	ARPC2
chr2:218234398-218234859	N_w	5	5	2	2	10	0	14	6	9	6	0	0	0	9	ENSG00000163466.15	ARPC2
chr2:218234398-218238663	N_w	157	423	135	355	201	146	429	286	291	217	221	140	314	252	ENSG00000163466.15	ARPC2
chr2:218235045-218238663	N_w	22	69	17	23	37	0	75	56	75	19	2	2	0	52	ENSG00000163466.15	ARPC2
chr2:218236734-218238663	N_w	0	4	2	5	0	2	2	1	2	1	3	4	0	1	ENSG00000163466.15	ARPC2
chr2:218238851-218239390	N_w	198	417	151	357	324	111	383	334	298	190	258	141	300	214	ENSG00000163466.15	ARPC2
chr2:218238851-218245419	N_w	0	1	1	1	1	0	1	0	1	0	10	1	1	0	ENSG00000163466.15	ARPC2
chr2:218239485-218245419	N_w	361	1030	228	626	450	151	759	547	375	456	374	221	367	672	ENSG00000163466.15	ARPC2
chr2:218239485-218249363	N_w	0	9	3	4	1	0	9	1	0	1	2	2	1	2	ENSG00000163466.15	ARPC2
chr2:218245547-218249363	N_w	675	3222	479	1072	675	227	2006	952	545	2146	568	325	519	1529	ENSG00000163466.15	ARPC2
chr2:218249465-218249820	N_w	829	3185	540	1170	748	256	2082	1051	629	2375	522	391	517	1284	ENSG00000163466.15	ARPC2
chr2:218249922-218252944	N_w	0	3	0	1	0	0	2	0	2	0	0	1	0	1	ENSG00000163466.15	ARPC2
chr2:218249922-218253890	N_w	1029	2895	578	1189	832	169	1996	1044	645	1774	504	295	465	772	ENSG00000163466.15	ARPC2
chrX:17721634-17724298	N_w	0	0	0	0	0	8	0	2	3	0	0	0	6	1	ENSG00000188158.14	NHS
chrX:17724431-17725346	N_w	0	0	0	0	0	4	0	0	2	0	0	0	9	1	ENSG00000188158.14	NHS
chrX:17728329-17728648	N_w	0	1	0	0	0	21	0	2	6	0	0	3	10	3	ENSG00000188158.14	NHS
chrX:17728776-17731857	N_w	0	0	0	0	0	13	2	1	1	0	1	3	6	2	ENSG00000188158.14	NHS
chrX:72140772-72142231	N_w	0	2	0	1	0	6	2	0	3	1	1	0	11	4	ENSG00000204131.9	NHSL2
chrX:72142365-72143252	N_w	0	0	0	1	1	2	1	1	1	1	3	2	3	0	ENSG00000204131.9	NHSL2
chr3:9792706-9797658	N_w	1	2	1	0	2	1	0	0	1	0	1	1	2	4	ENSG00000241553.12	ARPC4
chr3:9793125-9797658	N_w	2	4	2	8	9	11	3	0	16	5	7	2	12	14	ENSG00000241553.12	ARPC4
chr3:9797778-9799878	N_w	0	3	0	4	2	1	0	1	1	1	0	1	0	0	ENSG00000241553.12	ARPC4
chr3:9797778-9800184	N_w	25	58	56	125	45	107	55	46	63	34	114	86	90	51	ENSG00000241553.12	ARPC4
chr3:9800068-9800184	N_w	1	7	1	6	3	2	10	3	7	2	0	3	1	11	ENSG00000241553.12	ARPC4
chr3:9800297-9801660	N_w	29	54	33	109	25	114	53	41	52	28	99	65	94	57	ENSG00000241553.12	ARPC4
chr3:9800297-9803842	N_w	0	1	0	2	1	2	4	1	0	3	2	1	2	1	ENSG00000241553.12	ARPC4
chr3:9801757-9803535	N_w	0	2	1	0	2	0	1	3	3	0	0	0	1	0	ENSG00000241553.12	ARPC4
chr3:9801757-9803842	N_w	34	140	69	151	28	107	152	62	82	133	105	81	112	113	ENSG00000241553.12	ARPC4
chr3:9803708-9803842	N_w	2	7	0	2	2	3	9	5	4	4	2	0	2	5	ENSG00000241553.12	ARPC4
chr3:9804014-9806209	N_w	95	226	167	356	79	218	157	83	131	184	211	159	214	128	ENSG00000241553.12	ARPC4
chr7:99326005-99333324	N_w	12	37	16	52	34	26	54	26	35	30	43	41	40	130	ENSG00000241685.9	ARPC1A
chr7:99333418-99338180	N_w	33	94	29	122	65	60	128	84	153	43	98	98	74	174	ENSG00000241685.9	ARPC1A
chr7:99338286-99344292	N_w	31	84	29	103	57	44	94	70	69	67	55	66	57	122	ENSG00000241685.9	ARPC1A
chr7:99344516-99348851	N_w	55	98	54	141	64	100	129	70	121	46	81	77	74	132	ENSG00000241685.9	ARPC1A
chr7:99344516-99353908	N_w	0	3	1	1	0	2	0	0	0	1	3	0	0	0	ENSG00000241685.9	ARPC1A
chr7:99348960-99353908	N_w	11	24	15	29	18	23	37	17	31	14	28	17	25	35	ENSG00000241685.9	ARPC1A
chr7:99354122-99358339	N_w	35	14	14	38	16	13	25	17	32	6	27	17	17	26	ENSG00000241685.9	ARPC1A
chr7:99358416-99359544	N_w	65	164	60	130	63	60	145	83	83	105	76	55	66	140	ENSG00000241685.9	ARPC1A
chr7:99359739-99363542	N_w	129	121	77	179	100	79	137	95	80	68	58	78	69	103	ENSG00000241685.9	ARPC1A
chr7:99363634-99365890	N_w	196	271	115	201	113	70	214	99	84	151	86	100	56	140	ENSG00000241685.9	ARPC1A
chr7:99363634-99365911	N_w	4	2	0	1	3	0	1	1	2	0	0	1	1	1	ENSG00000241685.9	ARPC1A
chr3:10115820-10118905	N_w	27	85	12	47	47	19	78	48	41	37	18	18	7	56	ENSG00000254999.3	BRK1
chr3:10115820-10125625	N_w	383	1042	276	527	369	293	874	557	367	516	455	384	397	552	ENSG00000254999.3	BRK1
chr3:10115820-10126268	N_w	1	2	0	0	1	0	0	1	0	4	0	1	1	0	ENSG00000254999.3	BRK1
chr3:10118971-10125611	N_w	0	9	1	1	2	1	11	1	4	0	0	0	0	4	ENSG00000254999.3	BRK1
chr3:10118971-10125625	N_w	42	153	13	62	55	28	178	74	59	85	35	40	11	56	ENSG00000254999.3	BRK1
chr3:10118971-10126268	N_w	0	3	0	1	1	0	0	3	0	1	0	2	1	0	ENSG00000254999.3	BRK1
chr3:10125709-10126268	N_w	424	1475	275	603	527	326	1086	611	459	737	433	376	413	669	ENSG00000254999.3	BRK1
chr15:22869568-22870009	N_w	2	3	0	1	2	0	1	1	1	0	1	1	0	0	ENSG00000273749.4	CYFIP1
chr15:22870193-22872824	N_w	20	27	12	50	17	44	19	16	19	14	54	33	18	10	ENSG00000273749.4	CYFIP1
chr15:22872973-22873490	N_w	22	65	35	78	33	88	61	21	27	30	113	79	36	43	ENSG00000273749.4	CYFIP1
chr15:22873730-22874549	N_w	12	33	14	47	9	59	24	12	19	10	63	33	15	25	ENSG00000273749.4	CYFIP1
chr15:22874645-22875198	N_w	16	32	15	48	17	44	27	28	40	17	82	48	22	49	ENSG00000273749.4	CYFIP1
chr15:22875272-22876275	N_w	0	5	0	0	0	0	10	1	0	2	0	0	0	0	ENSG00000273749.4	CYFIP1
chr15:22875272-22879912	N_w	18	43	27	52	13	64	34	11	21	26	61	52	35	36	ENSG00000273749.4	CYFIP1
chr15:22880044-22881845	N_w	15	10	18	39	14	72	16	15	18	8	51	51	43	33	ENSG00000273749.4	CYFIP1
chr15:22881937-22882867	N_w	12	14	7	24	10	48	15	11	12	5	43	35	9	20	ENSG00000273749.4	CYFIP1
chr15:22883012-22892889	N_w	3	15	10	40	6	41	22	13	20	6	52	42	40	23	ENSG00000273749.4	CYFIP1
chr15:22892978-22903705	N_w	7	16	15	50	17	88	20	15	30	8	63	53	30	41	ENSG00000273749.4	CYFIP1
chr15:22903906-22909193	N_w	0	17	12	24	6	51	12	11	17	5	50	40	21	36	ENSG00000273749.4	CYFIP1
chr15:22909314-22910519	N_w	7	11	7	21	8	51	19	8	21	6	52	29	20	36	ENSG00000273749.4	CYFIP1
chr15:22910629-22910736	N_w	3	11	10	26	4	53	15	12	18	11	51	42	22	51	ENSG00000273749.4	CYFIP1
chr15:22910814-22912178	N_w	5	7	3	19	8	70	11	13	18	0	50	27	32	29	ENSG00000273749.4	CYFIP1
chr15:22912276-22914725	N_w	2	1	3	5	7	34	7	4	16	6	40	16	18	11	ENSG00000273749.4	CYFIP1
chr15:22914883-22916476	N_w	0	4	4	11	2	38	2	4	6	2	23	20	17	10	ENSG00000273749.4	CYFIP1
chr15:22914883-22916881	N_w	0	1	0	3	1	1	0	0	4	0	0	1	1	2	ENSG00000273749.4	CYFIP1
chr15:22916631-22917787	N_w	0	2	2	4	0	21	3	1	6	1	11	8	12	3	ENSG00000273749.4	CYFIP1
chr15:22917030-22917787	N_w	0	0	0	0	0	4	0	0	1	0	1	0	3	2	ENSG00000273749.4	CYFIP1
chr15:22917936-22918691	N_w	2	3	2	9	2	42	5	2	10	1	36	16	12	12	ENSG00000273749.4	CYFIP1
chr15:22918859-22925981	N_w	0	1	0	3	5	35	5	2	2	0	23	11	15	10	ENSG00000273749.4	CYFIP1
chr15:22926108-22927905	N_w	0	2	2	4	1	20	0	0	4	0	7	5	19	10	ENSG00000273749.4	CYFIP1
chr15:22928029-22932222	N_w	1	2	2	1	1	15	2	0	4	1	9	1	2	3	ENSG00000273749.4	CYFIP1
chr15:22932341-22933801	N_w	1	3	7	14	1	56	9	7	16	0	51	17	20	20	ENSG00000273749.4	CYFIP1
chr15:22933894-22937103	N_w	3	7	4	14	2	39	3	4	9	7	22	20	18	11	ENSG00000273749.4	CYFIP1
chr15:22937209-22939191	N_w	1	2	1	6	5	32	4	3	11	0	24	9	17	7	ENSG00000273749.4	CYFIP1
chr15:22939321-22939410	N_w	0	0	1	3	1	34	0	1	6	0	21	8	11	8	ENSG00000273749.4	CYFIP1
chr15:22939508-22943172	N_w	1	2	4	13	2	54	4	5	13	4	25	19	20	26	ENSG00000273749.4	CYFIP1
chr15:22943355-22944557	N_w	0	2	2	4	4	25	3	3	6	0	17	12	10	15	ENSG00000273749.4	CYFIP1
chr15:22944660-22944861	N_w	1	2	3	11	2	52	2	6	13	2	39	19	18	12	ENSG00000273749.4	CYFIP1
chr15:22944940-22947002	N_w	1	0	1	4	0	22	2	0	5	0	7	7	9	4	ENSG00000273749.4	CYFIP1
chr15:22947093-22947168	N_w	0	2	2	4	1	34	0	0	13	1	13	5	15	14	ENSG00000273749.4	CYFIP1
chr15:22947292-22980286	N_w	0	0	0	0	0	5	0	0	0	0	1	2	2	1	ENSG00000273749.4	CYFIP1
