junction	type	ERR2598067	ERR2598068	ERR2598087	ERR2598088	ERR2598100	ERR2598101	ERR2598117	ERR2598118	ERR2598119	ERR2598134	ERR2598135	ERR2598136	ERR2598163	ERR2598179	ERR2598191	ERR2598192	ERR2598204	ERR2598205	ERR2598224	ERR2598225	ERR2598247	ERR2598248	ERR2598249	ERR2598264	ERR2598265	ERR2598276	ERR2598277	ERR2598278	ERR2598279	ERR2598286	ERR2598360	ERR2598361	ERR2598362	ERR2598363	ERR2598147	ERR2598223	ERR2598311	geneID	geneName
chr12:54507910-54508388	N_w	0	0	0	2	0	2	0	1	1	5	21	0	2	0	2	2	0	1	3	2	0	0	0	0	4	0	0	0	2	1	0	2	0	1	3	0	0	ENSG00000123338.12	NCKAP1L
chr12:54508532-54509668	N_w	0	1	0	2	0	0	1	0	2	6	0	3	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSG00000123338.12	NCKAP1L
chr12:54509760-54509847	N_w	0	3	0	1	0	0	1	2	1	4	0	0	1	1	2	2	0	0	4	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	ENSG00000123338.12	NCKAP1L
chr12:54509986-54511802	N_w	0	2	0	1	2	0	2	0	0	2	12	0	2	1	2	4	0	3	5	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	ENSG00000123338.12	NCKAP1L
chr12:54511852-54511948	N_w	0	2	0	3	1	0	1	0	0	5	4	0	1	3	2	2	0	3	1	0	1	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	ENSG00000123338.12	NCKAP1L
chr12:54512106-54516238	N_w	0	1	0	1	0	0	0	0	4	3	3	1	3	1	0	3	0	2	4	2	0	0	0	0	1	0	0	0	3	0	1	0	0	0	3	0	1	ENSG00000123338.12	NCKAP1L
chr12:54516296-54516895	N_w	0	2	0	2	0	0	1	1	2	4	0	0	1	1	2	2	0	3	1	0	0	0	0	0	3	0	0	0	2	0	1	0	0	0	1	0	1	ENSG00000123338.12	NCKAP1L
chr12:54516993-54517532	N_w	0	0	0	3	0	0	1	1	4	2	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	ENSG00000123338.12	NCKAP1L
chr12:54517643-54517805	N_w	0	3	0	5	0	4	2	3	3	2	25	2	2	1	1	2	1	4	1	2	0	0	0	0	3	0	2	0	1	2	1	3	0	1	2	0	2	ENSG00000123338.12	NCKAP1L
chr12:54517939-54518650	N_w	0	5	0	6	0	2	0	1	4	3	0	2	1	4	0	4	0	2	3	3	0	0	0	0	2	0	0	0	0	0	2	0	0	1	3	0	1	ENSG00000123338.12	NCKAP1L
chr12:54518733-54518913	N_w	0	2	0	2	0	0	0	3	4	1	8	1	3	1	0	3	0	2	3	1	0	1	0	0	5	0	1	0	0	1	1	1	0	1	2	0	0	ENSG00000123338.12	NCKAP1L
chr12:54518973-54519186	N_w	0	2	0	2	0	2	0	2	1	3	8	0	1	2	1	3	1	1	1	0	0	0	0	0	5	0	0	0	0	0	0	0	1	1	3	0	2	ENSG00000123338.12	NCKAP1L
chr12:54519333-54520693	N_w	0	2	0	1	0	2	1	2	3	1	2	1	1	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	1	2	0	0	0	0	1	ENSG00000123338.12	NCKAP1L
chr12:54520827-54521118	N_w	0	3	1	2	0	1	1	4	4	5	9	5	2	2	5	0	0	5	2	4	0	0	0	1	4	1	6	0	2	0	2	1	0	1	4	1	4	ENSG00000123338.12	NCKAP1L
chr12:54521239-54523393	N_w	0	5	1	9	0	2	0	2	1	7	0	4	0	3	5	2	1	0	2	6	2	5	1	0	4	0	1	1	1	0	1	1	1	0	4	0	0	ENSG00000123338.12	NCKAP1L
chr12:54523540-54523824	N_w	0	1	3	7	0	1	2	1	1	1	10	0	4	1	4	4	2	2	5	2	2	1	0	0	3	1	1	0	2	0	0	2	0	0	5	3	0	ENSG00000123338.12	NCKAP1L
chr12:54523957-54526527	N_w	0	2	0	2	0	0	0	3	3	1	7	2	2	0	2	0	1	1	3	4	0	5	1	2	1	0	4	0	2	0	1	2	1	1	7	0	1	ENSG00000123338.12	NCKAP1L
chr12:54526747-54528246	N_w	0	3	2	4	1	0	1	9	1	3	3	0	1	1	3	3	1	2	3	1	0	0	4	1	5	0	3	1	1	1	5	1	2	1	6	2	2	ENSG00000123338.12	NCKAP1L
chr12:54528378-54531259	N_w	0	3	1	2	1	2	1	5	6	4	11	5	1	4	3	4	1	0	2	3	4	1	3	0	3	1	4	0	0	0	3	1	1	0	1	0	3	ENSG00000123338.12	NCKAP1L
chr12:54531358-54531490	N_w	1	10	2	8	0	4	2	4	1	6	2	2	0	3	3	4	3	0	5	5	2	0	4	2	7	1	3	1	5	2	3	0	1	0	3	2	1	ENSG00000123338.12	NCKAP1L
chr12:54531585-54531742	N_w	0	8	3	4	0	0	1	1	2	6	1	2	1	1	4	6	6	1	3	4	1	2	2	7	0	2	1	0	0	0	2	3	2	2	6	2	0	ENSG00000123338.12	NCKAP1L
chr12:54531826-54532169	N_w	6	5	4	4	5	1	1	1	4	0	21	2	7	0	0	2	0	5	2	0	4	1	2	2	2	1	5	2	0	1	4	0	1	2	2	3	2	ENSG00000123338.12	NCKAP1L
chr12:54532251-54535103	N_w	3	9	1	4	0	2	2	0	2	2	17	1	1	0	5	3	2	2	2	4	1	1	3	3	2	0	0	0	1	1	0	2	0	2	1	0	1	ENSG00000123338.12	NCKAP1L
chr12:54535198-54536128	N_w	1	7	6	4	0	1	0	6	1	4	11	6	4	2	6	4	7	4	5	0	2	3	8	1	4	1	11	2	4	3	6	2	2	5	6	4	2	ENSG00000123338.12	NCKAP1L
chr12:54536246-54536943	N_w	3	9	4	9	1	1	0	4	6	5	8	0	2	1	2	7	7	4	3	3	0	4	4	2	0	1	16	4	6	3	2	7	2	6	3	2	6	ENSG00000123338.12	NCKAP1L
chr12:54537054-54538883	N_w	0	6	0	3	2	0	0	2	2	3	15	3	1	1	2	0	2	1	2	2	2	5	5	4	2	1	2	0	2	0	1	2	1	1	0	3	0	ENSG00000123338.12	NCKAP1L
chr12:54538974-54542574	N_w	15	8	13	5	3	0	3	6	2	3	15	2	2	1	2	6	4	3	3	4	1	8	8	5	2	2	9	4	4	3	15	4	2	9	3	10	0	ENSG00000123338.12	NCKAP1L
chr7:99374579-99385701	N_w	0	1	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	2	ENSG00000130429.12	ARPC1B
chr7:99374782-99385701	N_w	3	7	5	16	12	22	3	23	10	2	0	13	14	2	2	17	2	13	1	2	1	5	1	1	18	2	7	3	3	3	6	1	5	4	5	4	8	ENSG00000130429.12	ARPC1B
chr7:99377440-99385701	N_w	0	2	0	1	0	2	0	6	4	1	1	1	2	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	1	1	0	0	ENSG00000130429.12	ARPC1B
chr7:99377456-99385701	N_w	0	1	1	3	0	2	2	4	6	1	1	4	4	0	2	1	2	0	0	2	0	1	0	0	3	0	0	0	2	0	1	0	2	1	1	0	0	ENSG00000130429.12	ARPC1B
chr7:99385779-99386684	N_w	16	69	20	60	39	54	10	82	82	19	9	55	70	11	29	52	15	21	23	19	10	19	17	12	56	4	17	19	37	17	19	7	8	15	20	24	27	ENSG00000130429.12	ARPC1B
chr7:99386790-99388038	N_w	11	65	21	71	46	37	15	70	72	26	29	59	83	10	44	52	16	26	27	19	13	17	10	18	55	10	23	19	40	19	21	13	22	40	40	14	18	ENSG00000130429.12	ARPC1B
chr7:99388262-99389904	N_w	20	83	28	87	58	35	17	87	86	17	10	75	73	28	38	45	23	49	34	22	15	25	15	28	80	21	43	29	54	22	30	12	29	40	38	34	26	ENSG00000130429.12	ARPC1B
chr7:99390013-99390892	N_w	31	58	32	40	22	32	18	59	64	14	15	48	32	14	12	20	8	18	23	17	16	28	16	23	54	9	10	22	45	8	5	16	9	11	39	19	8	ENSG00000130429.12	ARPC1B
chr7:99391100-99391177	N_w	48	126	69	93	72	60	8	96	128	40	9	109	99	31	44	58	30	60	47	47	30	41	56	62	92	42	71	58	41	29	46	22	28	33	66	50	41	ENSG00000130429.12	ARPC1B
chr7:99391254-99392670	N_w	35	92	58	59	29	34	11	64	78	21	0	80	45	23	19	45	25	40	41	23	28	46	53	33	60	10	39	33	32	13	17	9	18	14	41	37	19	ENSG00000130429.12	ARPC1B
chr7:99392877-99394028	N_w	71	107	93	53	46	20	5	57	54	5	1	36	52	29	7	42	26	34	20	15	29	80	81	60	40	18	72	29	46	29	20	7	15	36	14	38	20	ENSG00000130429.12	ARPC1B
chr7:99392877-99394032	N_w	1	4	2	0	1	0	0	0	0	0	0	0	1	0	0	1	3	1	0	0	1	3	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	ENSG00000130429.12	ARPC1B
chr7:99394120-99394450	N_w	79	93	93	50	42	40	17	90	57	17	18	43	52	25	10	41	25	14	27	17	40	113	98	72	56	45	73	33	57	30	24	20	21	62	52	42	15	ENSG00000130429.12	ARPC1B
chr13:26557820-26612960	N_w	0	5	0	3	4	3	0	0	0	0	0	2	2	6	0	7	0	7	0	2	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	ENSG00000132970.12	WASF3
chr13:26613059-26642260	N_w	0	15	0	17	2	4	10	6	10	0	0	8	5	26	19	27	5	21	16	13	5	0	0	0	12	0	1	1	2	0	2	2	5	0	2	3	13	ENSG00000132970.12	WASF3
chr13:26642104-26642260	N_w	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2	9	7	7	1	0	0	6	ENSG00000132970.12	WASF3
chr13:26642404-26665027	N_w	0	61	0	26	6	10	25	25	30	2	25	12	16	38	11	23	11	37	64	45	2	0	0	0	27	5	8	0	4	7	12	15	45	3	14	3	17	ENSG00000132970.12	WASF3
chr13:26665163-26667516	N_w	0	47	0	33	9	7	23	22	19	1	23	12	19	27	16	29	14	26	48	38	2	0	0	0	26	9	15	2	5	9	24	27	39	8	6	2	33	ENSG00000132970.12	WASF3
chr13:26667671-26671871	N_w	0	28	0	15	12	4	12	28	7	7	18	10	7	20	4	19	6	37	31	30	2	0	0	0	11	2	16	1	3	9	19	16	14	10	8	1	19	ENSG00000132970.12	WASF3
chr13:26671990-26676548	N_w	0	27	0	30	15	8	28	10	19	2	13	14	17	46	17	26	11	40	49	30	3	0	0	1	25	11	47	4	11	14	31	39	46	11	10	2	40	ENSG00000132970.12	WASF3
chr13:26671990-26680034	N_w	0	33	0	16	4	3	2	2	9	4	4	14	4	4	9	8	5	23	27	9	0	0	0	0	12	0	0	0	0	0	2	1	3	1	4	2	2	ENSG00000132970.12	WASF3
chr13:26671990-26681053	N_w	0	0	0	1	0	1	0	1	2	0	0	1	0	2	0	0	2	1	1	1	0	0	0	0	1	4	31	0	2	10	12	17	6	10	0	1	19	ENSG00000132970.12	WASF3
chr13:26676725-26680034	N_w	0	3	0	2	1	2	2	0	2	0	0	1	1	1	7	0	0	2	5	4	3	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	1	ENSG00000132970.12	WASF3
chr13:26676725-26681053	N_w	0	29	1	18	11	7	16	13	18	4	3	23	10	26	34	20	5	37	35	21	0	0	0	0	21	16	47	1	8	20	48	23	34	14	0	7	56	ENSG00000132970.12	WASF3
chr13:26680202-26681053	N_w	0	16	0	12	2	15	12	11	20	4	18	31	11	4	24	8	9	24	30	10	5	1	1	0	27	0	1	1	2	2	1	0	0	0	4	8	0	ENSG00000132970.12	WASF3
chr13:26681321-26682606	N_w	0	25	0	19	12	13	6	11	20	2	0	23	8	18	17	23	13	25	27	20	7	1	0	0	21	11	51	3	2	16	21	14	16	23	7	8	55	ENSG00000132970.12	WASF3
chr13:26682975-26685687	N_w	1	20	1	20	6	11	7	11	20	2	9	29	11	28	16	21	7	14	31	18	2	0	1	0	23	50	120	2	11	32	91	47	21	75	8	6	39	ENSG00000132970.12	WASF3
chr7:152759927-152783186	N_w	0	3	0	1	2	2	0	0	0	0	0	0	2	1	2	3	1	1	2	0	0	0	0	1	1	0	1	0	1	3	1	0	4	1	2	0	6	ENSG00000133627.17	ACTR3B
chr7:152759927-152800530	N_w	0	1	0	2	1	0	0	3	0	0	0	0	0	2	0	1	3	1	2	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	1	0	ENSG00000133627.17	ACTR3B
chr7:152783243-152800530	N_w	0	4	0	4	2	1	0	0	3	0	0	1	2	2	0	6	2	2	3	1	0	0	0	1	2	0	3	2	4	6	3	3	10	3	1	0	6	ENSG00000133627.17	ACTR3B
chr7:152783243-152801620	N_w	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	3	5	9	6	5	2	0	0	8	ENSG00000133627.17	ACTR3B
chr7:152800656-152801620	N_w	4	25	0	27	8	9	17	9	16	1	5	4	13	6	14	23	4	11	10	10	2	0	2	2	17	22	75	5	31	29	43	42	28	37	3	9	52	ENSG00000133627.17	ACTR3B
chr7:152801732-152811696	N_w	0	6	1	3	1	2	1	0	6	3	6	4	6	0	3	4	1	1	2	9	0	1	1	1	8	0	0	0	0	1	0	2	0	0	1	4	1	ENSG00000133627.17	ACTR3B
chr7:152801732-152814549	N_w	3	23	2	19	13	7	8	16	17	2	17	16	9	14	20	24	6	18	18	10	5	0	0	2	16	9	31	8	23	13	41	25	34	8	13	2	56	ENSG00000133627.17	ACTR3B
chr7:152807074-152814549	N_w	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	1	3	4	8	7	3	0	0	4	ENSG00000133627.17	ACTR3B
chr7:152807211-152814549	N_w	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	3	1	4	0	0	0	5	ENSG00000133627.17	ACTR3B
chr7:152811734-152814549	N_w	1	6	1	5	1	1	0	0	4	0	8	5	6	0	3	3	1	2	5	6	0	1	0	1	6	0	0	0	1	0	0	2	0	0	3	4	1	ENSG00000133627.17	ACTR3B
chr7:152814646-152816480	N_w	2	29	5	15	16	11	9	21	16	6	15	13	11	22	7	11	8	11	19	14	4	2	5	5	15	8	26	2	14	9	41	12	32	17	11	7	49	ENSG00000133627.17	ACTR3B
chr7:152816589-152820298	N_w	2	34	0	14	7	13	11	15	22	2	21	14	8	17	9	12	5	13	10	18	5	3	5	4	14	15	17	4	29	20	19	14	18	7	15	13	20	ENSG00000133627.17	ACTR3B
chr7:152816589-152820302	N_w	0	0	1	0	0	0	0	1	0	0	0	2	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	0	ENSG00000133627.17	ACTR3B
chr7:152820348-152823341	N_w	0	2	1	0	3	0	0	0	1	0	0	3	2	1	0	2	1	0	0	0	1	1	0	0	1	0	7	1	8	3	4	2	1	2	0	1	7	ENSG00000133627.17	ACTR3B
chr7:152820443-152823341	N_w	3	35	3	27	24	18	15	21	26	9	32	20	27	13	21	24	12	20	20	17	7	6	6	7	19	14	47	3	18	24	52	14	40	39	7	7	59	ENSG00000133627.17	ACTR3B
chr7:152823516-152825029	N_w	5	29	11	25	21	12	16	22	23	3	15	16	18	22	19	24	10	19	19	12	6	3	8	15	18	34	39	10	30	23	51	35	35	23	9	21	43	ENSG00000133627.17	ACTR3B
chr7:152825123-152826074	N_w	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	3	2	3	0	5	0	0	4	ENSG00000133627.17	ACTR3B
chr7:152825123-152842483	N_w	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	2	0	1	3	0	1	0	1	0	3	0	0	0	1	1	2	0	3	0	1	1	1	ENSG00000133627.17	ACTR3B
chr7:152825123-152852125	N_w	9	28	11	16	24	17	15	32	27	7	23	15	5	11	19	20	13	15	7	9	12	11	5	5	17	14	29	10	28	20	30	21	44	16	15	14	45	ENSG00000133627.17	ACTR3B
chr7:152845540-152845681	N_w	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	3	0	1	1	0	0	0	4	0	0	1	ENSG00000133627.17	ACTR3B
chr7:152852252-152853493	N_w	6	17	8	9	2	11	7	16	20	6	8	14	6	7	7	10	10	4	10	5	9	5	8	4	11	24	11	9	24	21	27	8	32	12	5	18	12	ENSG00000133627.17	ACTR3B
chr7:152853578-152854457	N_w	13	30	13	24	25	9	3	56	28	3	5	34	9	11	23	13	15	16	6	9	23	11	24	6	20	24	34	13	22	36	38	11	27	12	4	28	36	ENSG00000133627.17	ACTR3B
chr6:138424817-138425566	N_w	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	ENSG00000135540.11	NHSL1
chr6:138424817-138429710	N_w	0	3	1	6	6	0	3	9	7	2	3	10	1	1	10	5	2	2	6	10	3	0	4	0	4	0	2	0	0	1	2	0	1	1	1	5	2	ENSG00000135540.11	NHSL1
chr6:138429844-138430392	N_w	0	7	1	4	0	2	1	0	1	1	0	4	5	3	4	2	3	2	7	6	0	1	2	1	4	0	1	0	1	0	1	0	0	0	4	3	0	ENSG00000135540.11	NHSL1
chr6:138433681-138441982	N_w	0	3	0	0	1	0	0	0	1	0	0	0	2	3	1	5	1	1	11	5	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	ENSG00000135540.11	NHSL1
chr6:138433681-138447000	N_w	0	3	0	3	0	0	3	2	2	1	0	1	2	3	6	1	1	2	6	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	1	ENSG00000135540.11	NHSL1
chr6:138442115-138447000	N_w	0	1	0	0	2	1	0	4	0	1	0	1	1	3	0	2	0	0	3	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	ENSG00000135540.11	NHSL1
chr6:138447194-138473305	N_w	1	3	1	1	2	0	6	6	1	2	0	1	3	3	2	1	0	3	1	5	0	0	0	0	3	0	4	1	2	0	2	0	0	0	4	1	2	ENSG00000135540.11	NHSL1
chr6:138473434-138496218	N_w	0	3	0	0	4	2	4	5	4	2	2	2	9	7	7	2	0	2	12	12	0	0	0	0	4	2	1	0	2	0	1	0	0	1	1	3	0	ENSG00000135540.11	NHSL1
chr6:138496372-138499232	N_w	0	1	0	1	2	0	0	5	0	0	8	0	0	0	0	0	0	0	5	3	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	ENSG00000135540.11	NHSL1
chr6:138496372-138545622	N_w	0	0	0	0	0	0	0	0	0	0	21	0	2	1	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	ENSG00000135540.11	NHSL1
chr10:26748746-26751597	N_w	14	74	20	38	38	31	35	69	45	25	100	43	59	35	23	62	34	64	63	45	22	17	18	19	51	5	36	12	35	13	20	13	33	9	51	29	21	ENSG00000136754.16	ABI1
chr10:26751784-26755654	N_w	4	88	7	61	38	27	34	58	81	50	70	49	102	40	83	67	29	75	69	56	17	6	3	10	97	9	33	2	34	5	29	6	15	19	53	15	30	ENSG00000136754.16	ABI1
chr10:26751784-26759061	N_w	5	24	1	16	25	4	15	17	28	3	4	30	14	1	8	9	1	5	13	3	0	1	0	2	17	4	19	11	26	7	20	8	17	22	8	3	21	ENSG00000136754.16	ABI1
chr10:26751784-26763879	N_w	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	4	0	0	1	1	1	0	0	0	ENSG00000136754.16	ABI1
chr10:26751784-26765217	N_w	0	5	0	1	3	2	2	0	10	0	0	1	5	0	1	2	0	1	0	1	2	0	0	1	0	1	3	0	6	3	4	6	5	6	3	0	8	ENSG00000136754.16	ABI1
chr10:26755742-26759061	N_w	2	63	7	72	38	28	24	32	39	37	40	38	79	38	60	58	24	70	58	51	12	2	11	3	64	4	5	7	11	3	10	6	12	10	28	19	32	ENSG00000136754.16	ABI1
chr10:26755742-26765217	N_w	2	3	0	0	0	2	1	0	1	1	0	0	0	0	2	0	0	2	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	ENSG00000136754.16	ABI1
chr10:26759236-26765217	N_w	0	43	3	25	2	9	10	22	25	13	20	27	28	4	18	22	3	16	23	16	2	1	1	3	35	2	4	7	11	2	8	5	6	1	8	5	13	ENSG00000136754.16	ABI1
chr10:26759239-26765217	N_w	1	73	3	48	24	22	35	56	58	22	84	51	72	23	55	54	22	31	56	28	5	0	7	7	65	2	8	10	24	5	22	6	14	5	38	11	43	ENSG00000136754.16	ABI1
chr10:26764640-26765217	N_w	0	0	0	0	0	0	0	0	1	0	7	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	ENSG00000136754.16	ABI1
chr10:26765319-26768851	N_w	0	96	5	73	14	34	33	73	81	29	76	68	65	38	44	62	15	51	78	33	8	1	3	3	82	5	14	12	27	11	14	15	33	7	55	11	28	ENSG00000136754.16	ABI1
chr10:26768993-26770244	N_w	3	73	1	52	64	51	44	44	75	34	70	63	70	23	46	36	15	56	71	36	3	3	2	2	65	5	6	8	27	9	7	10	27	5	29	20	40	ENSG00000136754.16	ABI1
chr10:26770346-26771074	N_w	0	3	1	2	2	3	2	2	2	1	3	0	3	1	0	2	0	0	1	1	0	0	0	0	3	0	2	1	0	0	1	1	1	2	1	0	1	ENSG00000136754.16	ABI1
chr10:26770346-26777064	N_w	0	58	2	32	19	25	21	22	36	11	56	28	43	24	23	25	4	36	59	23	2	0	0	3	46	1	3	1	5	1	6	4	3	1	35	7	7	ENSG00000136754.16	ABI1
chr10:26771090-26777064	N_w	0	3	0	1	1	0	0	2	0	1	3	0	2	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	ENSG00000136754.16	ABI1
chr10:26777242-26823137	N_w	1	85	0	61	24	23	27	46	57	22	44	50	53	27	36	43	10	58	65	45	5	2	5	4	67	0	2	4	12	3	2	8	17	4	32	7	22	ENSG00000136754.16	ABI1
chr10:26823306-26860746	N_w	0	79	2	53	31	35	38	42	52	27	67	56	111	17	49	70	11	49	64	43	2	0	0	2	67	1	4	6	16	7	8	7	19	3	22	6	43	ENSG00000136754.16	ABI1
chr2:65227958-65239851	N_w	1	86	0	63	49	45	14	61	57	25	17	57	115	49	61	83	21	65	87	54	3	2	0	0	87	0	7	5	3	2	4	3	33	1	29	17	32	ENSG00000138071.13	ACTR2
chr2:65228297-65239851	N_w	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	1	3	7	2	0	0	5	ENSG00000138071.13	ACTR2
chr2:65235414-65239851	N_w	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	2	3	0	0	0	6	ENSG00000138071.13	ACTR2
chr2:65239963-65243845	N_w	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	2	2	0	0	1	ENSG00000138071.13	ACTR2
chr2:65239963-65246523	N_w	0	126	1	77	44	42	44	55	95	23	90	69	126	68	112	131	26	131	142	70	5	0	0	0	82	4	22	1	9	8	31	25	45	13	37	22	67	ENSG00000138071.13	ACTR2
chr2:65246740-65251026	N_w	0	224	1	119	74	47	88	86	115	55	114	95	149	113	112	154	36	173	216	116	9	1	1	4	158	12	24	6	24	10	33	24	50	4	43	32	76	ENSG00000138071.13	ACTR2
chr2:65251100-65253727	N_w	1	219	0	113	45	69	79	80	127	60	164	79	101	116	102	144	60	138	216	139	4	1	1	4	118	18	27	8	15	17	27	23	78	7	64	26	69	ENSG00000138071.13	ACTR2
chr2:65253865-65255544	N_w	2	240	4	115	86	67	83	117	134	68	173	90	143	133	159	173	60	157	209	167	6	4	4	5	156	14	73	8	24	19	60	27	72	43	60	37	121	ENSG00000138071.13	ACTR2
chr2:65255695-65261246	N_w	0	260	7	135	95	54	94	99	127	45	182	95	134	121	121	185	60	196	239	139	17	9	11	3	174	28	51	11	20	42	59	37	79	26	70	49	59	ENSG00000138071.13	ACTR2
chr2:65255695-65265042	N_w	0	2	0	1	1	0	0	0	3	1	0	1	0	0	2	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	ENSG00000138071.13	ACTR2
chr2:65261393-65265042	N_w	9	307	7	152	130	49	96	127	141	77	196	98	161	151	152	233	84	251	259	182	28	10	8	5	191	55	148	14	41	48	126	55	90	73	92	61	96	ENSG00000138071.13	ACTR2
chr2:65265176-65268563	N_w	7	230	4	107	62	69	112	74	130	54	150	75	106	138	144	192	72	130	205	122	18	8	3	11	145	52	102	17	34	42	75	42	60	42	61	65	90	ENSG00000138071.13	ACTR2
chr2:203328632-203351554	N_w	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	ENSG00000138443.15	ABI2
chr2:203328632-203366876	N_w	0	67	7	39	22	31	43	33	47	15	31	38	80	58	49	50	11	53	84	57	7	6	4	3	45	16	37	3	13	30	46	32	41	16	23	12	101	ENSG00000138443.15	ABI2
chr2:203328632-203366880	N_w	0	1	0	0	3	0	0	0	0	0	7	2	5	5	2	5	0	2	7	3	1	0	0	0	1	0	0	0	0	2	4	1	2	0	0	0	1	ENSG00000138443.15	ABI2
chr2:203328632-203380207	N_w	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	ENSG00000138443.15	ABI2
chr2:203351679-203366876	N_w	0	1	1	1	1	0	1	0	1	0	6	0	1	0	0	0	1	1	1	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	1	ENSG00000138443.15	ABI2
chr2:203355325-203366876	N_w	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	3	1	1	0	0	0	0	ENSG00000138443.15	ABI2
chr2:203367045-203375931	N_w	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	ENSG00000138443.15	ABI2
chr2:203367045-203376056	N_w	3	6	0	3	0	0	1	0	0	0	0	5	4	3	3	1	1	0	2	0	1	2	0	0	2	1	1	0	0	5	2	4	4	2	4	4	5	ENSG00000138443.15	ABI2
chr2:203367045-203380207	N_w	4	70	2	41	14	25	44	28	29	21	46	33	42	58	37	40	14	35	87	58	11	2	4	0	40	13	23	5	9	19	39	33	46	18	22	14	32	ENSG00000138443.15	ABI2
chr2:203367131-203380207	N_w	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	ENSG00000138443.15	ABI2
chr2:203376133-203380207	N_w	1	3	0	4	0	0	2	0	2	0	0	2	1	2	3	2	1	5	2	1	3	0	0	1	5	0	3	0	2	1	4	4	5	1	0	0	3	ENSG00000138443.15	ABI2
chr2:203380385-203382188	N_w	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	5	4	1	4	8	17	14	11	5	1	0	11	ENSG00000138443.15	ABI2
