junction	type	2a9ed6f1-3f93-43cf-9e47-6690781e1009	d512d7d6-0f5f-484c-a4eb-20fcce53643a	f69372c0-9da5-469c-ba81-e5b3da5e605c	199a14f5-6ff1-4d6e-b043-06061511915f	b178a8cb-b28c-4fed-a8ae-d4e37ae39261	842f6668-669f-4e7d-89f6-f6da627297b8	ad36d45c-5bd4-4c14-87b7-eb57dc110ac7	a72b96c5-2ece-463e-a6cc-4598901a9bef	42a0ffc5-0804-4b82-9c18-50df23f21cf9	81148a24-a1bf-45ae-a0bb-709cccd728fd	8a72416e-242b-4482-921e-88fdae3c17ff	f53a9c63-1af7-4cbc-b8b7-4aa7aaed3364	dc2086bf-e50b-49fb-b31e-93b4fdc540fb	9a2c9224-ec66-4560-b909-08144c67e00d	7ad22869-92c5-43d5-b334-9781a311cb2e	454383cb-3cb3-4b8c-8078-a2ec27139d33	0141f9ca-a8a1-4ea4-b194-6c3afb943253	3551ea04-99f5-4748-8304-6a63e77ae756	fdbd24ed-a293-4f84-a418-8ab531750e9a	1f1c74d9-86f3-49ea-bb26-2c09efecc4a2	479dca62-5053-4919-9d21-695298aa76b4	37b29806-fbd6-432f-9a47-ce72bee3a5bb	9a756d11-4f93-4a52-9755-c338b21ccdca	d27541fa-68eb-4066-a6b8-6abd49575fe1	cc4c52a7-57d4-4959-abfb-8ed3b1ba4ded	e08283ca-68e0-4171-b8b9-51aee0b1e0ef	8ff6b0ab-c03c-4a06-a851-ebb4b0ffb769	1d6b448c-1d01-4a8c-8417-b094ec2d562e	e959e8bd-d13c-43c2-840b-8e19211eb643	0a858ad7-1c4a-41a0-9747-97c108cb074e	b8de7c7f-5de1-45b9-948d-cf5df3850551	6f54f9c0-5687-4a07-bf75-b506752b4a52	8c3b9672-d44c-4df4-9912-47f93f0a5c58	cef2bdb2-017f-4e90-94b3-45a91ac9fb6c	bc005778-f88d-47b7-8e04-ceb9750f00c2	3d648fd2-3148-478b-a74c-0016a04cdbe5	1ef1159e-ddaa-4673-8115-d8f356e51ff8	geneID	geneName
chr2:113913228-113927344	N_w	0	1	2	3	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	ENSG00000115091.11	ACTR3
chr2:113917009-113927344	N_w	129	260	212	248	174	234	137	363	139	249	25	271	283	91	182	177	132	162	78	149	223	89	200	230	149	119	43	209	170	266	332	13	243	281	252	70	181	ENSG00000115091.11	ACTR3
chr2:113927456-113931300	N_w	275	340	304	386	218	345	187	454	192	425	66	541	428	149	305	313	208	231	148	207	273	118	326	284	209	220	86	262	198	471	516	33	375	448	377	126	262	ENSG00000115091.11	ACTR3
chr2:113931397-113934157	N_w	0	0	1	1	0	3	2	2	1	0	0	0	3	0	7	0	4	2	1	7	0	1	1	7	1	1	2	1	1	0	20	0	1	0	0	1	1	ENSG00000115091.11	ACTR3
chr2:113931397-113934278	N_w	100	126	122	144	94	158	56	180	55	154	18	118	132	50	109	110	79	113	57	76	78	51	118	90	70	81	24	77	94	151	142	10	156	134	131	44	104	ENSG00000115091.11	ACTR3
chr2:113934387-113939958	N_w	197	287	365	327	165	296	161	423	188	390	68	355	318	153	244	199	192	209	103	183	263	152	251	337	211	168	75	277	214	426	366	42	383	286	333	144	227	ENSG00000115091.11	ACTR3
chr2:113940103-113942185	N_w	286	352	375	356	177	366	177	494	220	435	67	519	453	177	278	263	277	245	137	163	273	126	348	361	237	268	88	271	250	470	528	49	433	417	436	118	271	ENSG00000115091.11	ACTR3
chr2:113942360-113951478	N_w	309	361	418	502	251	435	279	604	223	432	89	279	419	276	431	346	359	299	221	288	345	223	443	413	280	264	95	323	317	683	567	90	457	538	521	124	264	ENSG00000115091.11	ACTR3
chr2:113951572-113951719	N_w	304	348	310	455	212	335	183	473	235	478	102	444	408	151	315	276	284	215	198	249	251	138	331	305	209	283	112	221	272	496	470	68	482	389	415	134	276	ENSG00000115091.11	ACTR3
chr2:113951846-113955622	N_w	353	495	444	651	330	404	295	632	504	983	92	486	540	209	481	298	321	322	215	344	303	191	369	365	275	435	121	282	440	673	577	106	1041	497	560	143	459	ENSG00000115091.11	ACTR3
chr2:113955707-113957359	N_w	323	492	467	572	234	507	251	641	280	701	132	522	536	278	440	347	384	317	220	318	460	258	455	417	225	376	149	293	371	663	531	140	635	505	582	205	385	ENSG00000115091.11	ACTR3
chr12:54497892-54499354	N_w	2	57	66	26	8	22	10	51	16	39	0	37	29	5	26	13	7	7	3	26	13	15	3	43	54	3	7	71	2	19	23	0	13	8	10	4	9	ENSG00000123338.12	NCKAP1L
chr12:54499466-54500532	N_w	4	71	101	27	5	23	14	57	11	43	2	51	29	9	32	29	9	8	4	26	19	25	15	61	65	4	14	66	1	33	36	1	7	10	11	10	9	ENSG00000123338.12	NCKAP1L
chr12:54500626-54507852	N_w	0	54	54	14	0	20	13	29	5	15	1	24	30	11	26	17	6	8	0	16	11	7	11	34	46	1	4	61	0	26	26	2	4	7	5	7	9	ENSG00000123338.12	NCKAP1L
chr12:54507910-54508388	N_w	4	28	53	25	5	20	7	39	5	22	1	24	13	5	26	15	3	10	5	14	11	16	10	44	34	1	7	54	1	27	18	1	10	2	7	5	6	ENSG00000123338.12	NCKAP1L
chr12:54508532-54509668	N_w	1	34	59	11	4	15	9	31	4	10	0	23	13	8	19	20	2	8	3	13	12	16	2	43	38	1	4	37	0	17	17	3	5	4	4	1	4	ENSG00000123338.12	NCKAP1L
chr12:54509760-54509847	N_w	4	32	45	9	3	6	9	22	3	9	0	13	7	4	18	11	2	4	1	12	9	5	2	28	25	4	5	31	1	19	16	1	3	1	1	1	11	ENSG00000123338.12	NCKAP1L
chr12:54509986-54510348	N_w	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	3	0	0	1	0	0	0	0	0	0	ENSG00000123338.12	NCKAP1L
chr12:54509986-54511802	N_w	1	40	61	20	10	18	7	37	5	19	1	24	20	9	21	17	1	6	1	15	9	6	5	35	31	1	5	23	0	26	20	0	5	3	10	5	9	ENSG00000123338.12	NCKAP1L
chr12:54511852-54511948	N_w	8	53	55	21	2	16	13	38	10	22	0	28	22	6	37	25	2	8	1	24	14	18	7	43	27	4	8	43	0	21	27	1	6	3	7	6	12	ENSG00000123338.12	NCKAP1L
chr12:54512106-54516238	N_w	7	62	44	32	14	24	11	38	7	28	0	48	17	10	35	32	5	10	3	30	14	19	9	42	34	4	11	59	2	30	44	3	13	8	10	10	15	ENSG00000123338.12	NCKAP1L
chr12:54516296-54516895	N_w	6	46	59	19	4	15	4	34	1	30	0	44	18	5	21	21	4	14	4	10	9	16	8	48	46	1	10	40	0	21	29	3	10	6	4	3	9	ENSG00000123338.12	NCKAP1L
chr12:54516993-54517532	N_w	4	54	50	18	8	16	5	43	5	13	0	39	13	8	23	21	3	8	3	17	10	17	2	43	64	3	12	31	1	21	29	2	5	2	2	3	9	ENSG00000123338.12	NCKAP1L
chr12:54517643-54517805	N_w	11	42	76	26	9	26	13	54	7	33	1	44	20	11	55	27	11	9	12	28	13	28	5	64	63	7	11	73	0	40	34	2	8	9	11	6	14	ENSG00000123338.12	NCKAP1L
chr12:54517939-54518650	N_w	0	56	60	17	3	20	13	46	5	36	1	35	15	9	20	25	9	8	13	18	9	30	11	57	49	4	6	45	0	51	29	2	9	10	5	7	9	ENSG00000123338.12	NCKAP1L
chr12:54518733-54518913	N_w	4	36	50	18	5	14	10	37	4	28	0	21	19	14	28	19	7	10	2	17	13	19	6	38	40	5	6	31	0	37	19	3	4	5	3	7	11	ENSG00000123338.12	NCKAP1L
chr12:54518733-54518943	N_w	0	1	0	1	0	0	0	2	1	0	0	1	0	0	2	0	0	0	0	0	0	2	0	3	0	0	0	1	0	1	1	0	1	1	1	0	1	ENSG00000123338.12	NCKAP1L
chr12:54518973-54519186	N_w	3	37	64	25	9	25	15	53	7	34	1	42	23	10	31	16	3	6	7	15	15	27	8	41	35	3	4	55	1	33	24	3	10	4	9	2	14	ENSG00000123338.12	NCKAP1L
chr12:54519333-54520693	N_w	1	40	89	29	7	14	13	43	7	27	0	33	24	11	31	15	9	11	7	16	11	37	5	65	54	3	12	44	1	29	32	2	10	3	7	6	14	ENSG00000123338.12	NCKAP1L
chr12:54520827-54521118	N_w	2	51	58	27	4	16	11	45	12	30	3	36	24	17	42	20	3	6	8	20	15	29	5	62	72	4	15	48	1	46	33	8	11	9	8	7	15	ENSG00000123338.12	NCKAP1L
chr12:54521239-54523393	N_w	10	58	100	24	6	36	10	44	7	51	1	45	23	22	42	19	5	5	11	17	27	39	11	83	69	8	21	67	2	46	23	7	14	8	19	7	20	ENSG00000123338.12	NCKAP1L
chr12:54523540-54523824	N_w	13	106	147	45	11	51	24	98	27	93	2	59	42	28	63	43	12	16	23	16	24	69	22	109	135	10	26	113	2	67	50	9	21	13	23	22	29	ENSG00000123338.12	NCKAP1L
chr12:54523957-54526527	N_w	4	41	67	21	7	28	14	46	13	45	0	27	25	9	45	28	6	9	9	12	17	51	10	74	57	7	18	64	2	32	15	6	13	4	14	11	18	ENSG00000123338.12	NCKAP1L
chr12:54526747-54528246	N_w	6	61	90	43	8	25	17	69	19	80	4	39	52	14	58	32	10	11	19	25	15	46	16	72	92	13	31	66	2	69	27	5	19	9	15	15	27	ENSG00000123338.12	NCKAP1L
chr12:54526747-54531259	N_w	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	ENSG00000123338.12	NCKAP1L
chr12:54528378-54531259	N_w	7	74	118	38	10	35	24	81	14	72	4	62	37	18	62	40	14	15	24	22	30	80	23	75	95	23	51	95	2	80	43	11	31	14	27	21	26	ENSG00000123338.12	NCKAP1L
chr12:54531358-54531490	N_w	6	65	63	28	9	26	16	58	13	48	5	27	25	16	54	26	11	15	8	11	13	62	11	69	92	7	24	58	2	63	17	8	18	10	9	7	14	ENSG00000123338.12	NCKAP1L
chr12:54531358-54531493	N_w	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	1	0	3	0	0	0	0	0	2	0	0	0	0	0	2	0	ENSG00000123338.12	NCKAP1L
chr12:54531585-54531742	N_w	8	51	83	34	8	24	17	51	22	48	2	33	35	25	47	29	11	12	9	12	22	55	18	88	113	15	21	70	3	50	36	3	31	9	11	21	19	ENSG00000123338.12	NCKAP1L
chr12:54531826-54532169	N_w	4	31	42	17	5	35	16	47	6	29	3	16	18	16	38	23	8	13	6	9	19	47	7	45	70	11	10	54	7	48	16	3	15	4	20	5	16	ENSG00000123338.12	NCKAP1L
chr12:54532251-54535103	N_w	9	58	95	30	8	28	13	66	16	69	6	36	26	20	41	42	14	10	19	7	25	52	23	66	88	14	33	72	4	74	33	5	11	9	14	21	21	ENSG00000123338.12	NCKAP1L
chr12:54535198-54536128	N_w	8	50	63	23	3	34	20	49	10	58	4	25	24	23	43	25	10	9	14	15	12	60	13	58	82	13	21	54	5	70	20	10	17	5	27	23	20	ENSG00000123338.12	NCKAP1L
chr12:54536246-54536943	N_w	2	37	45	35	12	27	24	42	29	61	3	13	19	24	28	13	9	17	21	15	16	42	14	36	55	11	18	39	4	58	13	11	19	11	19	16	15	ENSG00000123338.12	NCKAP1L
chr12:54537054-54538883	N_w	9	56	95	43	12	34	29	48	15	64	1	20	31	41	56	35	15	13	25	22	27	98	28	63	95	11	24	56	9	85	22	16	27	9	35	29	29	ENSG00000123338.12	NCKAP1L
chr12:54538974-54542574	N_w	6	109	86	47	19	42	42	83	20	94	22	54	42	44	62	47	26	22	39	37	28	106	40	79	124	26	33	82	11	99	37	26	26	17	46	28	48	ENSG00000123338.12	NCKAP1L
chr7:99374579-99385701	N_w	2	0	1	1	0	0	0	1	2	0	0	3	2	1	0	2	0	0	0	2	0	1	1	0	3	2	1	1	1	0	2	0	1	1	0	0	0	ENSG00000130429.12	ARPC1B
chr7:99374782-99376432	N_w	0	1	3	2	0	0	2	1	0	0	1	2	1	0	0	0	0	0	1	0	3	0	1	2	2	0	0	0	1	0	0	0	0	0	0	3	0	ENSG00000130429.12	ARPC1B
chr7:99374782-99376443	N_w	0	0	1	0	2	1	0	2	1	0	1	0	3	3	0	1	1	1	0	0	1	1	0	0	3	1	0	0	0	3	0	0	0	0	0	1	0	ENSG00000130429.12	ARPC1B
chr7:99374782-99377333	N_w	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	1	0	0	0	2	1	0	0	0	0	1	1	0	ENSG00000130429.12	ARPC1B
chr7:99374782-99377337	N_w	2	18	25	36	9	15	10	25	14	15	36	51	8	19	7	5	2	8	10	7	39	44	18	50	23	17	3	17	21	36	6	7	14	4	8	28	17	ENSG00000130429.12	ARPC1B
chr7:99374782-99377357	N_w	2	8	20	24	7	14	9	9	9	13	28	27	13	22	12	8	6	6	7	5	33	31	12	37	35	9	11	14	27	39	8	8	11	4	5	17	17	ENSG00000130429.12	ARPC1B
chr7:99374782-99385701	N_w	116	344	415	444	197	274	416	392	200	246	327	638	437	460	296	148	202	214	201	242	718	724	622	599	583	500	182	350	613	1155	229	129	278	225	163	290	493	ENSG00000130429.12	ARPC1B
chr7:99374807-99385701	N_w	0	1	1	0	0	0	1	1	0	0	0	2	0	1	2	0	2	0	0	2	0	2	2	1	2	0	0	1	3	1	2	0	0	1	1	0	1	ENSG00000130429.12	ARPC1B
chr7:99376575-99377337	N_w	0	0	0	2	0	1	0	1	0	1	0	1	0	2	1	0	0	1	5	2	3	1	1	1	0	3	0	0	1	4	0	2	0	1	1	4	2	ENSG00000130429.12	ARPC1B
chr7:99377440-99385701	N_w	9	8	9	12	4	16	4	3	8	8	12	15	4	14	3	3	0	2	7	3	20	34	8	15	9	6	1	12	8	13	2	6	6	0	6	8	9	ENSG00000130429.12	ARPC1B
chr7:99377456-99385701	N_w	6	16	31	18	5	15	12	10	9	12	28	23	11	17	4	2	5	8	13	10	29	36	21	37	24	13	5	18	19	21	8	11	7	5	8	21	6	ENSG00000130429.12	ARPC1B
chr7:99385779-99386684	N_w	103	514	368	625	236	422	521	465	223	391	395	632	431	405	227	203	246	288	233	299	731	548	724	461	413	429	148	559	628	828	210	241	279	276	232	293	471	ENSG00000130429.12	ARPC1B
chr7:99386591-99386684	N_w	0	1	3	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	5	0	0	0	1	0	0	0	0	0	0	0	4	1	ENSG00000130429.12	ARPC1B
chr7:99386790-99388038	N_w	133	380	231	664	212	364	546	554	335	558	186	818	461	432	365	224	310	272	268	332	698	696	831	561	782	627	209	656	803	1177	324	205	361	343	228	256	537	ENSG00000130429.12	ARPC1B
chr7:99388262-99388654	N_w	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	ENSG00000130429.12	ARPC1B
chr7:99388262-99389904	N_w	80	308	368	418	122	222	339	324	237	387	339	406	271	346	245	121	189	144	192	233	508	621	474	575	529	430	116	288	515	800	246	182	261	205	152	270	367	ENSG00000130429.12	ARPC1B
chr7:99390013-99390892	N_w	123	313	382	498	175	285	382	350	259	505	419	371	349	414	265	138	198	164	195	242	587	680	478	549	573	454	178	387	598	854	201	241	280	207	156	362	394	ENSG00000130429.12	ARPC1B
chr7:99391050-99391177	N_w	0	0	1	0	0	2	0	1	0	2	0	1	0	0	1	0	1	0	0	0	1	6	1	0	6	0	0	0	0	6	0	0	1	0	2	0	0	ENSG00000130429.12	ARPC1B
chr7:99391100-99391177	N_w	114	358	513	466	150	379	413	367	280	533	426	471	401	651	324	162	233	186	291	287	709	1082	598	704	720	633	167	457	766	1068	233	389	317	209	223	379	499	ENSG00000130429.12	ARPC1B
chr7:99391254-99392670	N_w	80	253	397	440	130	357	316	284	118	188	359	349	281	536	315	142	214	161	269	214	602	1036	638	600	689	551	187	425	733	1086	205	401	158	141	159	422	358	ENSG00000130429.12	ARPC1B
chr7:99392877-99394028	N_w	133	557	581	811	217	553	544	463	282	540	743	548	474	912	371	215	301	247	318	377	1031	1324	824	944	1037	932	330	571	1030	1496	328	587	416	291	238	673	552	ENSG00000130429.12	ARPC1B
chr7:99392877-99394032	N_w	0	6	6	10	0	3	3	4	1	7	9	4	7	4	4	1	4	0	1	2	11	17	7	13	11	13	1	2	12	15	3	11	6	1	3	7	8	ENSG00000130429.12	ARPC1B
chr7:99394120-99394450	N_w	84	432	401	644	187	397	502	448	183	375	517	446	379	694	291	208	303	202	222	304	696	857	660	567	597	730	197	455	758	1153	266	462	264	284	310	387	453	ENSG00000130429.12	ARPC1B
chr13:26557820-26612960	N_w	2	0	0	4	2	2	0	0	2	2	0	0	0	0	0	2	0	0	0	4	0	0	0	8	7	0	0	4	0	0	7	0	4	2	3	0	0	ENSG00000132970.12	WASF3
chr13:26613059-26642260	N_w	3	3	10	20	5	6	3	6	7	5	0	4	5	2	2	3	0	1	1	11	1	1	5	5	16	7	0	16	0	0	15	0	9	9	4	0	1	ENSG00000132970.12	WASF3
chr13:26642404-26665027	N_w	6	1	9	24	4	8	3	10	8	2	0	5	9	1	1	0	0	0	4	14	2	5	0	6	16	4	0	14	0	2	20	0	5	7	13	2	0	ENSG00000132970.12	WASF3
chr13:26665163-26667516	N_w	1	1	4	25	5	7	0	2	3	3	0	2	7	0	1	1	3	4	0	8	2	4	0	8	7	1	1	12	1	3	14	0	10	6	11	1	2	ENSG00000132970.12	WASF3
chr13:26667671-26671871	N_w	18	5	18	39	13	9	1	9	10	3	1	4	11	2	0	0	2	4	2	10	4	4	1	8	13	2	1	16	0	3	23	0	5	5	13	2	4	ENSG00000132970.12	WASF3
chr13:26671990-26676548	N_w	6	0	6	16	5	10	1	6	5	0	0	0	0	1	0	1	1	2	2	9	5	7	1	5	3	6	4	13	0	0	18	0	4	1	11	2	1	ENSG00000132970.12	WASF3
chr13:26671990-26680034	N_w	0	2	3	0	2	4	1	7	3	1	0	3	11	0	1	5	0	3	2	0	2	0	4	4	7	0	0	15	1	1	14	0	3	6	2	0	4	ENSG00000132970.12	WASF3
chr13:26671990-26681053	N_w	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	ENSG00000132970.12	WASF3
chr13:26676725-26680034	N_w	0	0	1	0	0	2	0	3	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	ENSG00000132970.12	WASF3
chr13:26676725-26681053	N_w	4	1	6	15	3	2	1	0	2	2	0	0	1	1	0	0	0	2	1	13	2	3	0	2	2	2	1	2	0	0	6	0	6	2	9	0	0	ENSG00000132970.12	WASF3
chr13:26680202-26681053	N_w	1	2	6	3	0	8	1	7	5	8	0	3	7	0	1	2	0	5	0	3	0	0	3	7	16	0	0	14	2	2	14	0	6	0	5	1	4	ENSG00000132970.12	WASF3
chr13:26681321-26682606	N_w	4	2	14	15	2	7	3	8	7	7	0	0	4	2	2	0	0	2	0	5	5	3	3	8	13	3	0	14	0	0	11	1	7	1	8	5	4	ENSG00000132970.12	WASF3
chr13:26682975-26685687	N_w	3	2	6	16	6	3	1	2	6	10	0	2	6	3	0	0	2	2	0	10	4	2	1	15	9	5	6	8	0	0	12	0	3	3	8	2	1	ENSG00000132970.12	WASF3
chr7:152759927-152783186	N_w	6	1	0	1	0	3	6	3	11	2	0	10	2	0	1	2	4	2	4	8	4	5	6	5	3	0	1	4	11	3	1	0	4	2	1	3	0	ENSG00000133627.17	ACTR3B
chr7:152759927-152800530	N_w	1	2	3	1	0	3	2	3	2	0	1	0	3	0	3	0	2	1	0	2	2	3	1	0	0	0	0	5	1	1	2	0	4	3	1	1	0	ENSG00000133627.17	ACTR3B
chr7:152783243-152800530	N_w	8	5	5	1	6	6	18	18	22	4	4	12	9	1	7	7	11	9	7	25	2	4	8	11	8	1	5	4	18	11	8	3	5	10	4	6	5	ENSG00000133627.17	ACTR3B
chr7:152783243-152801620	N_w	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	4	1	0	1	0	4	1	0	0	0	0	0	0	0	0	ENSG00000133627.17	ACTR3B
chr7:152800656-152801620	N_w	27	11	17	13	21	9	44	26	32	9	6	26	26	11	16	12	27	20	6	50	16	8	31	17	19	18	5	33	30	33	15	7	25	21	18	14	11	ENSG00000133627.17	ACTR3B
chr7:152801732-152811696	N_w	2	0	1	1	0	2	3	3	0	2	0	0	1	0	0	5	2	1	1	0	0	1	1	3	2	0	0	0	0	0	4	0	0	0	3	0	0	ENSG00000133627.17	ACTR3B
chr7:152801732-152814549	N_w	13	5	9	7	20	9	22	16	36	11	4	21	27	7	21	18	28	18	11	37	13	9	19	13	18	10	6	23	20	31	13	9	15	24	12	6	9	ENSG00000133627.17	ACTR3B
chr7:152811734-152814549	N_w	0	0	0	1	1	3	2	3	1	0	1	2	0	1	1	2	10	1	0	4	0	0	0	6	3	0	0	0	3	1	3	1	4	2	0	0	1	ENSG00000133627.17	ACTR3B
chr7:152814646-152816480	N_w	21	12	16	22	17	11	21	34	24	12	4	26	23	10	14	15	38	11	16	40	10	10	20	17	10	13	7	28	35	32	14	6	25	30	19	8	19	ENSG00000133627.17	ACTR3B
chr7:152816589-152820298	N_w	21	11	19	18	27	13	39	30	46	13	9	25	27	16	22	19	44	19	11	36	28	19	21	37	23	30	3	29	36	27	31	15	22	27	19	20	12	ENSG00000133627.17	ACTR3B
chr7:152816589-152820302	N_w	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	2	0	1	0	2	0	0	0	0	1	ENSG00000133627.17	ACTR3B
chr7:152820348-152823341	N_w	0	0	1	0	2	1	3	1	3	0	0	3	3	1	0	0	5	3	1	2	1	0	4	1	8	3	0	4	2	1	6	0	1	2	1	1	1	ENSG00000133627.17	ACTR3B
chr7:152820443-152823341	N_w	30	14	14	18	25	10	38	29	32	25	6	32	25	10	20	12	38	16	18	31	15	14	25	21	22	18	5	11	58	34	27	11	32	38	25	12	21	ENSG00000133627.17	ACTR3B
chr7:152823516-152825029	N_w	30	12	17	22	21	11	39	34	54	18	8	28	39	15	24	18	51	23	16	33	19	29	48	34	20	34	5	25	65	57	17	20	41	25	18	18	21	ENSG00000133627.17	ACTR3B
chr7:152825123-152842483	N_w	6	0	2	1	0	3	0	0	3	2	1	2	0	0	1	1	5	1	1	3	0	0	1	1	0	1	1	0	2	3	0	0	2	0	0	0	0	ENSG00000133627.17	ACTR3B
chr7:152825123-152852125	N_w	8	5	12	4	18	9	26	22	47	13	7	18	17	12	16	19	36	18	12	23	19	18	17	23	14	33	8	24	38	29	10	25	16	18	14	14	14	ENSG00000133627.17	ACTR3B
chr7:152825123-152854457	N_w	1	0	2	3	0	0	2	0	0	0	0	2	1	0	5	2	0	0	0	0	0	3	3	0	0	1	0	1	4	0	0	1	2	0	0	0	1	ENSG00000133627.17	ACTR3B
chr7:152852252-152853493	N_w	36	3	117	8	7	64	14	13	17	8	12	8	10	17	8	9	13	6	9	22	11	12	8	206	17	19	7	17	31	30	6	23	16	9	10	15	6	ENSG00000133627.17	ACTR3B
chr7:152853578-152854457	N_w	72	5	149	6	29	115	32	23	23	11	11	18	21	17	14	10	39	19	20	20	14	19	31	243	21	41	6	18	71	34	13	31	17	32	10	17	11	ENSG00000133627.17	ACTR3B
chr6:138424817-138429710	N_w	15	23	8	7	4	12	11	15	21	15	2	20	28	7	20	2	3	4	3	9	3	7	14	14	8	7	7	7	13	3	17	3	26	13	2	3	13	ENSG00000135540.11	NHSL1
chr6:138429844-138430392	N_w	9	14	17	10	1	13	11	8	10	14	1	15	30	7	11	3	4	5	0	8	5	6	11	28	14	8	3	5	5	10	9	1	30	3	3	0	13	ENSG00000135540.11	NHSL1
chr6:138433681-138441982	N_w	3	5	2	3	2	1	3	2	1	2	0	9	7	0	3	1	1	3	0	9	1	0	1	0	0	0	0	4	2	1	4	0	8	0	0	0	0	ENSG00000135540.11	NHSL1
chr6:138433681-138447000	N_w	0	6	3	0	0	4	1	1	4	2	0	2	8	1	0	0	1	2	0	3	1	0	2	1	1	2	0	5	0	1	6	0	3	0	0	0	0	ENSG00000135540.11	NHSL1
chr6:138442115-138447000	N_w	5	5	2	1	0	0	1	1	1	0	0	8	5	0	3	0	3	1	1	0	0	4	0	2	0	1	1	1	2	0	2	0	4	0	0	0	3	ENSG00000135540.11	NHSL1
chr6:138447194-138473305	N_w	3	5	2	3	2	3	2	9	7	0	0	11	8	3	7	1	1	1	0	7	0	0	9	2	2	1	0	8	5	1	10	0	8	2	0	0	3	ENSG00000135540.11	NHSL1
chr6:138473434-138496218	N_w	9	7	2	4	0	4	1	3	5	3	0	7	12	3	9	0	0	3	0	1	2	1	7	6	2	1	0	7	4	2	9	0	11	6	3	0	2	ENSG00000135540.11	NHSL1
chr6:138496372-138545622	N_w	0	1	0	0	4	0	1	0	4	2	0	0	1	0	0	0	0	0	0	2	0	1	3	0	1	0	0	3	0	0	10	0	2	2	0	0	0	ENSG00000135540.11	NHSL1
chr6:138496372-138571709	N_w	3	4	0	0	0	2	0	0	2	0	0	2	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSG00000135540.11	NHSL1
chr6:138496372-138692475	N_w	3	0	0	0	0	5	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	ENSG00000135540.11	NHSL1
chr10:26748746-26751597	N_w	61	78	82	133	100	102	56	169	123	132	25	49	144	74	111	54	86	70	52	97	61	59	80	109	56	136	34	94	106	146	92	23	114	100	77	47	125	ENSG00000136754.16	ABI1
chr10:26751784-26755654	N_w	24	34	23	71	41	45	19	75	91	63	6	111	66	48	45	31	38	55	15	37	57	25	32	82	48	63	21	80	39	32	81	6	39	77	63	11	50	ENSG00000136754.16	ABI1
chr10:26751784-26759061	N_w	34	60	89	43	35	51	24	96	77	39	15	48	66	15	54	21	72	39	31	34	34	29	35	51	36	60	12	63	66	76	44	11	67	28	26	34	62	ENSG00000136754.16	ABI1
chr10:26751784-26765217	N_w	27	24	53	34	20	14	28	32	3	17	6	21	56	10	33	18	3	3	6	23	26	31	8	50	16	59	2	21	22	42	14	0	19	7	26	12	63	ENSG00000136754.16	ABI1
chr10:26755742-26759061	N_w	20	41	30	60	33	50	20	82	70	49	4	95	41	47	40	25	42	50	14	38	33	16	33	31	37	45	14	52	41	30	74	13	32	79	87	9	26	ENSG00000136754.16	ABI1
chr10:26755742-26765217	N_w	5	2	1	6	3	3	4	2	2	1	0	7	7	1	5	1	1	3	1	0	11	7	4	25	0	9	0	1	3	1	7	0	1	3	2	1	11	ENSG00000136754.16	ABI1
chr10:26759236-26765217	N_w	16	32	24	36	31	26	10	48	32	24	6	38	39	11	28	12	30	25	13	24	21	6	28	28	24	24	6	35	32	16	27	2	24	41	19	12	22	ENSG00000136754.16	ABI1
chr10:26759239-26765217	N_w	29	70	68	79	66	109	39	87	88	51	7	77	122	35	73	43	80	68	32	63	49	24	47	56	52	71	10	130	80	53	80	13	87	83	70	27	56	ENSG00000136754.16	ABI1
chr10:26765319-26768851	N_w	112	159	181	187	165	148	92	259	226	163	36	226	259	80	162	95	123	98	73	180	130	66	135	194	111	243	46	191	133	188	216	23	202	210	143	77	225	ENSG00000136754.16	ABI1
chr10:26765319-26770244	N_w	0	1	0	5	1	0	0	3	2	0	0	1	1	0	1	1	1	0	1	0	0	2	0	0	0	1	0	1	0	1	0	0	5	0	0	0	0	ENSG00000136754.16	ABI1
